Sample.Name,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g)
80434,0,0,95.16196508,NA,0,0
80435,0,0,103.9985915,NA,0,0
80436,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239
80441,0,0,13.38145166,NA,0,0
80442,0,0,2.754568148,NA,0,0
80445,0,0,2.734084712,NA,0,0
80446,54.47707686,141.3000319,85.70769291,64.68775115,26.21284683,0
80447,18.51939219,22.60111655,13.10105473,NA,0,0
80448,339.7264097,616.3661353,66.46533646,29.3658989,53.31704247,13.66946328
80451,1493.205238,1472.302775,98.22407456,NA,73.7534794,42.549464
80452,0,0,3.006362849,NA,0,0
80453,0,0,116.3554777,NA,0,0
80454,0,13.78869405,65.72805444,NA,0,0
80455,0,0,3.099442205,NA,0,0
80456,0,0,2.6181603,NA,0,0
80457,0,0,28.99071484,NA,0,0
80458,0,0,16.93056847,NA,0,0
80459,0,0,3.823463552,NA,0,0
80460,0,0,3.170361412,NA,0,0
80461,0,0,103.2616402,NA,0,0
80462,0,0,10.44044623,NA,0,0
80463,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337
80466,NA,0,11.83356444,NA,0,0
80468,118.9851598,216.5027867,11.65735205,NA,0,0
80470,19.73232354,34.6189402,4.673991004,NA,0,0
80472,44.35692519,36.00190632,7.478620573,NA,0,0
80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012
80474,0,0,2.451596578,NA,0,0
80475,0,0,45.68619682,NA,0,0
80479,337.2187728,547.7236462,55.49856748,39.11261628,50.47256908,29.18533156
80480,41.82797865,69.56129755,13.71373241,NA,0,0
80482,150.8208859,195.3922981,92.73129589,NA,20.3282355,45.23198553
80483,29.44445815,78.99668896,8.790732719,NA,0,0
80484,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541
80485,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809
80486,13.72629178,38.50299404,5.083918436,NA,0,0
80487,36.40941015,64.63067044,15.03091878,NA,0,0
80490,12.37280095,46.8334447,10.24095886,NA,0,0
80491,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834
80492,6.631116122,23.33904057,5.322347275,NA,0,0
80493,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592
80504,0,0,4.770992536,0,0,0
80509,0,0,NA,NA,0,0
80532,0,0,NA,NA,0,0
80533,0,0,11.7773666,NA,0,0
80535,0,0,NA,NA,0,0
80547,266.9949183,414.0564489,68.65506511,NA,0,0
80549,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097
80551,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0
80554,0,0,8.58640428,NA,0,0
80555,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248
80556,248.631556,177.3466419,15.87089748,NA,0,0
80557,0,NA,NA,NA,0,0
80559,83.2536806,225.2454295,17.87016104,NA,0,0
80561,284.0873606,371.3688265,104.3159627,NA,0,0
80562,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777
80563,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249
80564,438.1998159,900.1769772,85.70186926,46.7359039,39.98070827,38.8716463
80565,272.6090003,448.0963127,95.9694355,NA,21.15102756,NA
80566,500.5989999,1101.90806,156.394201,NA,89.39775371,123.8584288
80567,194.7551988,NA,183.72206,11.23531247,NA,36.41979283
80568,0,0,3.979497581,0,0,0
80569,342.3252512,703.1508256,53.10057594,27.63204587,16.80002789,NA
80570,387.1660762,517.1679157,147.6011137,15.68277045,NA,28.96981148
80571,228.8570689,441.0135887,99.08545162,NA,11.69082367,0
80572,383.7507291,617.1017699,57.79265248,NA,26.62015044,0
80573,0,10.06425305,7.624670236,NA,0,0
80574,8.594896057,28.85966366,NA,NA,0,0
80575,0,0,NA,NA,0,0
80579,616.3550636,1205.455798,99.30556428,25.72410553,113.2124604,0
80581,481.9921769,830.1825167,NA,NA,0,0
80583,1925.073838,NA,137.6956755,NA,287.9402963,56.59540513
80587,8.099701712,20.92779997,10.13809624,NA,0,0
80588,188.3175345,352.218454,22.36040317,NA,0,0
80589,226.2437438,557.7753292,184.6619169,NA,88.27143256,174.341633
80590,120.1373866,187.7803389,27.01935527,NA,0,0
80591,91.19366153,188.9956309,62.56821354,NA,13.69230861,0
80592,361.9811147,490.0497707,36.01328105,13.24707024,41.43219731,0
80593,301.7703775,371.920709,27.86430933,10.21012365,0,0
80594,630.4506027,820.1827975,NA,NA,18.06274894,0
80601,323.9393026,843.2481961,173.0565398,NA,169.5651908,149.6018629
80603,54.31617573,81.98207458,9.01195229,NA,0,0
80604,139.5196017,392.4476355,81.2033259,13.66893446,NA,0
80606,93.36456017,198.9791883,56.44898307,NA,0,0
80607,25.65413297,31.22682434,5.349459011,NA,0,0
80608,88.49051371,150.2593247,23.13658659,NA,0,0
80610,NA,NA,9.339061594,NA,0,0
80611,174.6802987,601.0580567,84.71421807,NA,25.29643652,19.52268014
80612,645.8488029,751.4688818,196.6512128,42.75187531,63.92941037,83.71989244
80613,31.58647039,74.73445832,39.97172394,NA,0,0
80614,104.7574163,327.302541,41.0019857,9.266326129,0,0
80615,0,NA,3.217707399,NA,0,0
80616,442.4068025,597.4971649,76.6838031,19.56876282,0,34.00408864
80618,252.4017485,458.2966578,59.78879598,NA,0,22.60390467
80620,283.8861036,371.2440363,46.47984873,NA,17.5077066,0
80622,163.690456,318.9696755,41.41812775,9.487382848,0,0
80623,78.56267497,133.3184892,169.8806927,NA,0,0
80624,1264.052456,1722.965118,162.3964038,91.27875147,131.4832853,300.6556003
80625,65.04952918,207.4296618,32.74354469,NA,0,0
80626,555.4345021,1065.599333,84.02287809,NA,33.18775766,77.59314351
80627,45.33194881,107.7939996,8.871287809,NA,0,0
80628,166.8059079,475.8308526,41.59776926,NA,16.10372101,31.52396211
80629,48.9008788,143.4269857,27.80044736,NA,0,0
80630,371.6267766,556.5807852,57.34501761,40.57624969,18.97365443,0
80631,112.5940811,276.2893506,79.24085191,NA,29.48395703,54.96208691
80632,56.5806663,134.2955998,30.92813479,NA,0,0
80633,311.7889845,518.5159323,57.31044438,22.0468374,40.47433008,22.97189862
80634,89.51704819,189.9751152,100.5048932,NA,34.97948776,48.34610161
80635,51.21090705,101.5788526,35.58097941,NA,0,0
80637,55.3176732,145.5522507,93.56620168,NA,0,NA
80639,25.58278021,31.90709374,4.420806133,NA,0,0
80642,54.01089242,135.6089784,46.41681232,NA,0,0
80646,126.3067985,192.4762783,52.72279468,NA,0,0
80648,596.2650206,966.1713633,160.8211361,69.42205659,177.9374749,67.69637812
80649,92.90509416,169.5614517,17.97569063,0,0,0
80650,0,20.64672116,171.0092454,0,0,0
80651,0,0,4.832133234,0,0,0
80652,11.05979061,17.99041818,56.27664073,0,0,0
80653,99.35394607,70.67506583,47.15475611,0,26.59996205,0
80654,0,0,4.250051224,0,0,0
80656,967.1478078,1062.274381,120.4926292,19.3376291,64.29782759,47.18730078
80657,25.25850775,44.12668272,13.18902882,0,0,0
80659,669.752015,1383.044732,131.8279251,74.12027398,NA,69.48860364
80665,16.42964851,124.638294,82.55460816,NA,0,0
80667,0,0,17.27037748,NA,0,0
80670,47.80634276,427.9758799,122.0230399,NA,13.55307114,0
80672,0,13.18053973,26.31530455,NA,0,0
80675,1494.063187,3004.999668,203.8185232,181.4782621,NA,35.13424315
80676,0,0,5.245956159,NA,0,0
80677,31.01789004,329.1289095,192.6652244,NA,19.31934626,17.49842755
80683,0,0,4.989568791,NA,0,0
80684,58.34569675,108.3679718,158.571483,NA,0,0
80685,0,28.07864467,13.47950863,NA,0,0
80686,42.87703458,58.83782934,17.13722185,NA,0,0
80690,0,0,9.499360482,NA,0,0
80691,0,0,4.876191623,NA,0,0
80692,122.2671343,249.8834023,35.42224972,NA,NA,0
80693,195.5910425,366.8241792,171.5532669,NA,21.05256161,29.94617844
80695,91.39212417,178.6484353,95.66570869,NA,0,0
80696,299.6581141,611.6442247,177.8652549,15.91133275,27.74056178,111.5237663
80697,215.6292825,470.8054803,147.2897793,NA,41.04863615,129.4916661
80700,0,18.83495736,102.1675031,NA,0,0
80701,227.6841787,351.397465,236.1062967,NA,62.35064734,22.27357727
80702,0,0,50.76933043,NA,0,0
80706,0,0,21.54087241,NA,0,0
80711,62.06207722,58.36041103,28.49950793,NA,0,0
80713,0,0,34.20980109,NA,0,0
80714,107.5110818,129.9386455,39.44890649,NA,0,0
80719,331.7499887,614.417256,54.00665116,NA,13.27292792,0
80720,138.1022066,147.9067623,NA,NA,0,0
80723,392.7093711,709.4055258,68.30773498,16.72942804,23.83803891,58.99421418
80724,279.8700948,329.1470828,38.03962238,NA,NA,NA
80725,797.1731356,795.0579536,57.44538182,NA,NA,74.54190882
80727,990.1020338,517.5268435,58.99568114,30.01428361,16.03761083,0
80730,96.70143599,207.8016298,34.49092858,8.768593512,0,0
80731,107.9908443,96.16267654,7.129482153,NA,0,0
80732,1280.315864,892.9931287,127.1517509,63.7204953,169.3179786,117.5420387
80733,262.4720158,311.0028383,39.28817163,NA,15.80056056,19.39919162
80735,1110.190529,1096.054587,47.61483367,16.3874232,71.55724182,100.0451124
80738,29.71419754,89.94118597,71.64433982,NA,9.433535826,32.88184706
80741,6.861338636,18.25502434,4.610738373,NA,0,0
80742,77.95180435,99.93030121,14.68738467,NA,0,NA
80743,210.2701257,294.9315231,31.71010178,NA,0,14.85317633
80744,266.284068,520.0854868,51.69486993,NA,31.00259593,110.9947523
80745,110.6923869,153.7020619,14.84457699,NA,0,0
80746,523.3395906,859.9950296,111.3114641,NA,52.09356648,77.20293773
80747,72.70566032,174.2356471,NA,NA,0,0
80748,1114.022885,1174.87554,46.6626012,NA,8.123109706,0
80749,1531.095914,925.1893138,100.3295349,NA,13.90277776,14.32166855
80750,370.6817071,594.1531584,68.55556135,NA,NA,0
80752,893.0906626,994.6843682,40.03875102,32.806454,0,0
80753,3193.3248,1827.149639,139.0993964,94.55266507,142.8517431,107.4841988
80754,130.0309431,83.90483236,7.934874709,NA,0,0
80755,464.6678604,786.6273853,62.98032567,NA,NA,0
80757,872.0141989,1085.889256,86.17830384,29.8526873,NA,26.5254357
80758,409.7361537,1113.012887,78.9974049,NA,31.73906095,NA
80760,1116.458307,1878.119013,102.5250993,69.95675726,81.45253097,NA
80761,0,0,40.22792619,NA,0,0
80762,145.2997608,446.8469317,78.08236249,169.2289819,21.51308739,0
80763,15.30616242,33.77767208,23.85849388,10.7460319,0,0
80764,0,0,3.094200761,NA,0,0
80765,89.1124665,243.4342279,69.36810709,143.9281202,34.05582547,0
80766,0,0,10.07209194,NA,0,0
80768,0,0,NA,NA,0,0
80769,227.4286975,641.4787009,44.91593047,NA,28.90137458,0
80771,34.12921809,71.54644963,6.402704228,NA,0,0
80782,1291.387331,2003.872587,229.3508743,NA,48.14242441,0
80783,478.2809524,735.8948238,86.11518,50.05522048,12.42551734,0
80784,52.3480382,81.17500045,11.82125644,NA,0,0
80786,395.6803148,930.2543815,73.81690695,NA,14.64783983,0
80788,699.3168034,944.1275954,152.0194604,56.45702862,30.48041308,63.14670615
82215,366.5094895,646.2821156,71.19193901,NA,19.95851183,0
82217,338.45461,365.0226001,30.05280604,NA,0,0
