"","Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
"316",80486,13.72629178,38.50299404,5.083918436,NA,0,0,52.22928582,10.2734311097827
"317",80487,36.40941015,64.63067044,15.03091878,NA,0,0,101.04008059,6.72214932891814
"318",80490,12.37280095,46.8334447,10.24095886,NA,0,0,59.20624565,5.78131857176507
"319",80491,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834,681.74610354,7.59749675681892
"320",80492,6.631116122,23.33904057,5.322347275,NA,0,0,29.970156692,5.63100360488972
"321",80493,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592,770.09309316,5.40134724479768
"322",80504,0,0,4.770992536,0,0,0,0,0
"323",80509,0,0,NA,NA,0,0,0,NA
"324",80532,0,0,NA,NA,0,0,0,NA
"325",80533,0,0,11.7773666,NA,0,0,0,0
"326",80535,0,0,NA,NA,0,0,0,NA
"327",80547,266.9949183,414.0564489,68.65506511,NA,0,0,681.0513672,9.91989980795752
"328",80549,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097,1659.02425884,13.6125194241957
"329",80551,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0,966.91507603,15.4915499218231
"330",80554,0,0,8.58640428,NA,0,0,0,0
"331",80555,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248,1021.34923955,5.91293042407131
"332",80556,248.631556,177.3466419,15.87089748,NA,0,0,425.9781979,26.8402085286484
"333",80557,0,NA,NA,NA,0,0,NA,NA
"334",80559,83.2536806,225.2454295,17.87016104,NA,0,0,308.4991101,17.2633648577349
"335",80561,284.0873606,371.3688265,104.3159627,NA,0,0,655.4561871,6.28337380142876
"336",80562,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777,1217.83896676,18.8628836788152
"337",80563,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249,273.309613364,2.09274815663463
