"Sample.Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
80270,70.92165918,231.96487575,111.3525234,NA,20.614116065,0,323.500650995,2.72006889185593
80271,35.32563124,41.283780065,11.705463,NA,0,0,76.609411305,6.54475703395927
80272,124.3887589,178.30805235,45.208264535,NA,7.8532979765,17.32598479,327.8760940165,6.695607857622
80273,10.52881021,9.2082681625,4.65484241,NA,0,0,19.7370783725,4.24011741624138
80274,0,0,2.3671511335,NA,0,0,0,0
80275,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.773659978342
80276,395.401285,457.9533418,53.42926639,NA,16.236718165,13.487079465,883.07842443,15.9716702934128
80277,76.928339885,196.00158185,28.30134861,NA,0,0,272.929921735,9.64370728391943
80286,0,0,6.025320131,NA,0,0,0,0
80287,290.9811948,469.45571755,89.08335326,13.229413055,NA,12.977939615,NA,8.53624032461573
80288,88.857349415,182.4854454,48.69443927,NA,NA,23.42235066,NA,5.57235690322798
80290,16.96081145,49.786629105,12.053857675,NA,0,0,66.747440555,5.53743393647627
80291,70.809788695,258.42192125,99.691118265,NA,NA,15.863327515,NA,3.3025179742676
80292,16.20046158,53.348406475,4.4417808695,NA,0,0,69.548868055,15.6578791476557
80293,66.733756575,220.7427256,34.682787245,NA,0,0,287.476482175,8.28873643125218
80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,810.03045273,8.46866179657279
80295,32.803125515,61.438253925,10.7756665,NA,0,0,94.24137944,8.74575873705817
80296,0,0,2.2240112195,NA,0,0,0,0
80297,0,0,2.6670984485,NA,0,0,0,0
80298,0,0,2.3498128885,NA,0,0,0,0
80299,0,0,2.440088775,NA,0,0,0,0
80300,0,0,65.370953975,NA,0,0,0,0
80301,0,0,69.31535226,NA,0,0,0,0
80302,30.64878741,127.0607045,21.04882374,NA,0,0,157.70949191,7.49255606194743
80304,0,0,3.949436992,NA,0,0,0,0
80307,0,0,39.016321135,NA,0,0,0,0
80308,0,27.384680665,18.5750693,NA,0,0,27.384680665,1.47427071321882
80312,0,0,27.76179633,NA,0,0,0,0
80313,199.5842661,549.22274595,106.9650236,NA,23.16468622,23.98633561,795.95803388,7.00048470844258
80314,211.87472725,276.01062955,75.3257631,NA,0,0,487.8853568,6.47700516690816
80315,485.93991135,610.51976085,45.801471505,20.48172811,12.43494223,0,1108.89461443,23.9393983680263
80316,847.45003515,1018.624205,113.1447505,22.66880601,55.466323355,NA,NA,16.4928044111954
80317,25.857666065,45.507192425,8.825947063,NA,0,0,71.36485849,8.08580178201778
80319,62.93275056,116.4233388,10.88504864,NA,0,0,179.35608936,16.4772887372233
80320,867.65159165,1284.115692,130.11325995,30.38161687,135.0837078,33.24355359,2320.09454504,16.5376479267131
80322,43.807789075,101.12835055,23.313352315,NA,0,0,144.936139625,6.21687253152979
80324,359.26531595,623.1918873,214.9488343,NA,18.58150847,23.808518845,1024.847230565,4.57065611195083
80325,191.75845065,572.72350985,311.00249045,22.571215635,55.634440225,89.273213315,909.38961404,2.45812166775207
80326,593.23601795,1135.5635395,252.11145385,28.891562275,85.68325871,71.06043684,1885.543253,6.85728288441267
80330,0,0,89.200066935,NA,0,0,0,0
80331,159.7595808,385.0475659,35.32458992,NA,14.6957884,0,559.5029351,15.4228866614965
80332,85.802300265,222.2225512,159.49443135,NA,NA,10.697947335,NA,1.93125771763818
80333,0,0,3.976160145,0,0,0,0,0
80334,0,441.41587755,91.603214755,227.3959992,26.92384887,0,468.33972642,4.81878151034984
80335,0,31.5021057,117.3993761,52.33504474,24.750828555,0,56.252934255,0.268332820381999
80336,0,102.5951182,87.188121985,57.03289851,31.21448842,0,133.80960662,1.1767098070727
80339,0,0,3.5777241085,NA,0,0,0,0
80340,212.55745135,334.34718055,56.75584414,16.93174612,8.4469052075,13.899239675,569.2507767825,9.63609369549586
80341,23.466096615,82.055490155,72.558119655,NA,0,0,105.52158677,1.45430431868597
80342,196.2431085,401.31675565,142.4640584,NA,21.50166385,46.35795706,665.41948506,4.19446048962199
80343,77.68409954,206.69958815,80.453622015,NA,5.700321017,19.7719093,309.855918007,3.53475307347852
80344,193.4736598,362.74766145,39.338159765,15.96378237,5.953400383,0,562.174721633,14.1394850336869
80347,136.7741925,310.69506215,86.06903894,11.699317805,0,0,447.46925465,5.19895725757944
80348,205.40187385,313.41137135,51.713795245,NA,8.52820522,0,527.34145042,10.0323954709196
80349,9.817350017,24.682731635,6.6613130635,NA,0,0,34.500081652,5.17917133200656
80350,10.183016495,18.108955115,6.901724121,NA,0,0,28.29197161,4.09926144742812
80351,225.82313465,385.5757286,57.26460627,14.573461115,NA,NA,NA,10.676732157509
80352,205.4407301,566.0330176,76.79710508,NA,0,32.819392585,804.293140285,10.0456097517784
80354,0,0,27.266661365,NA,0,0,0,0
80356,85.53351534,243.7331017,170.87680385,NA,0,0,329.26661704,1.9269240155559
80357,33.38260612,90.67772837,16.850238525,NA,0,0,124.06033449,7.36252690464511
80358,30.149854035,53.37752103,11.440778825,NA,0,0,83.527375065,7.30084693906317
80359,62.14223127,137.6472284,33.049026715,NA,0,0,199.78945967,6.045244883999
80360,129.23127815,126.66914985,25.32774069,NA,6.085633955,0,261.986061955,10.1035631694159
80361,129.95624155,223.4953281,73.429043115,NA,0,0,353.45156965,4.81351185656125
80362,0,0,2.806209656,NA,0,0,0,0
80363,296.40069985,420.0328911,63.37641069,18.42628802,13.925021645,25.9396673,756.298279895,11.3044204168389
80365,26.23796178,46.1399402,9.857346586,NA,0,0,72.37790198,7.34253395156009
80366,140.71386385,352.87157745,80.58234144,13.01572295,0,NA,NA,6.12523081955262
80367,424.0172241,699.37069535,105.68561285,18.845901065,16.203704055,0,1139.591623505,10.6295255253374
80368,0,0,5.4425470695,NA,0,0,0,0
80369,66.72503876,130.69061385,35.908568885,NA,0,0,197.41565261,5.49773100794518
80370,153.81790095,379.02108605,68.200820605,NA,18.27857787,29.28943159,580.40699646,7.81279436630321
80371,224.9136963,436.1952122,143.12437805,NA,7.6384828165,39.163135085,707.9105264015,4.61912161650787
80372,189.3590547,306.33303605,119.73353455,12.205534225,27.614109205,32.827536835,556.13373679,4.13996039299251
80373,48.67779997,62.56060583,63.36091441,NA,0,0,111.2384058,1.75563131996788
80376,461.5081549,817.61031885,125.66430115,NA,110.2278497,98.23956483,1487.58588828,10.1788531989142
80377,0,0,3.2991776085,NA,0,0,0,0
80378,207.84310375,494.90210565,96.323102315,12.005187605,0,17.12089073,719.86610013,7.29570780540116
80381,0,0,3.309416353,NA,0,0,0,0
80382,0,0,28.04174263,NA,0,0,0,0
80383,192.37168835,229.2122531,82.140691375,9.170637019,7.224097721,0,428.808039171,5.13246156555132
80384,78.88479164,164.48106465,57.296931945,NA,18.02152997,17.31431891,278.70170517,4.2474500471266
80386,0,11.37384541,64.749080075,NA,0,0,11.37384541,0.175660339835338
80387,0,0,20.835936415,NA,0,0,0,0
80388,53.090011835,128.1107882,79.697030945,NA,0,0,181.200800035,2.2736204584591
80389,0,0,52.237242715,NA,0,0,0,0
80390,0,0,33.917301355,NA,0,0,0,0
80391,0,0,42.904918875,NA,0,0,0,0
80392,0,6.8378479315,3.93299357,NA,0,0,6.8378479315,1.73858609473903
80394,116.43743025,215.83410995,72.198038045,NA,0,0,332.2715402,4.6022239550734
80395,0,10.505186615,36.378710005,NA,0,0,10.505186615,0.288772928274701
80397,25.58360209,45.71122891,14.02851202,NA,0,0,71.294831,5.08213778470284
80398,69.27128582,157.96172285,37.780179,NA,0,0,227.23300867,6.01460910680174
80399,478.7844339,820.27668145,176.7103539,49.20509568,26.082550255,38.539286615,1363.68295222,7.35135823498569
80401,36.29808476,72.0016091,25.61315282,NA,0,0,108.29969386,4.22828437487143
80402,0,0,3.6894480075,NA,0,0,0,0
80403,74.326922655,179.4066336,27.74038095,NA,0,0,253.733556255,9.14672212729652
80404,78.601201915,220.99193635,66.473427205,NA,13.11560037,0,312.708738635,4.50696091448803
80405,0,53.95457371,7.598495442,NA,0,0,53.95457371,7.10069172533433
80407,0,0,5.933068788,NA,0,0,0,0
80408,0,0,3.733779441,NA,0,0,0,0
80410,8.3517185905,21.087136135,55.152452575,NA,0,0,29.4388547255,0.533772359179623
80411,0,0,3.664235987,0,0,0,0,0
80413,525.7869407,756.87194605,74.24214231,23.94278432,10.811902055,0,1293.470788805,17.276695510674
80414,11.269829435,16.77008897,11.94678445,NA,0,0,28.039918405,2.347068244376
80415,0,0,2.8217822495,NA,0,0,0,0
80419,144.0802895,239.3247168,26.349459025,NA,13.706479185,0,397.111485485,14.5507733550139
80421,0,0,15.335729445,NA,0,0,0,0
80424,182.64895795,385.79390575,118.7960529,126.75948105,26.579178895,NA,NA,4.78503157153296
80425,9.0236845155,0,2.9648793305,NA,0,0,9.0236845155,3.04352505097678
80426,1171.6626415,808.50100855,35.855405585,17.689511715,17.0095381,0,1997.17318815,55.2263631589875
80427,554.4922584,822.288885,108.90728825,NA,77.981941945,54.537056435,1509.30014178,12.6417723324408
80428,0,0,20.27745135,NA,0,0,0,0
80429,23.67236351,45.59466351,4.4256000865,NA,0,0,69.26702702,15.651442892749
80431,0,0,86.94437187,0,0,0,0,0
80433,0,0,9.9248048,0,0,0,0,0
80434,0,0,95.161965075,NA,0,0,0,0
80435,0,0,103.99859145,NA,0,0,0,0
80436,180.562861,447.0082164,177.7060446,NA,33.844961065,84.301423895,745.71746236,3.53151227248688
80439,0,7.7109104535,4.8450618115,NA,0,0,7.7109104535,1.59149888143795
80441,0,0,13.38145166,NA,0,0,0,0
80442,0,0,2.754568148,NA,0,0,0,0
80443,0,0,3.102994978,NA,0,0,0,0
80444,0,0,2.577919597,NA,0,0,0,0
80445,0,0,2.7340847115,NA,0,0,0,0
80446,54.477076855,141.30003185,85.707692905,64.687751145,26.212846825,0,221.98995553,2.2842419632273
80447,18.519392185,22.601116545,13.10105473,NA,0,0,41.12050873,3.13871742218117
80448,339.72640965,616.3661353,66.465336455,29.3658989,53.31704247,13.669463275,1023.079050695,14.3848296863331
80450,6.480472139,49.977220385,147.6124954,NA,19.167737365,0,75.625429889,0.382472312868982
80451,1493.205238,1472.3027745,98.224074555,NA,73.7534794,42.549463995,3081.810955895,30.1912542921388
80452,0,0,3.006362849,NA,0,0,0,0
80453,0,0,116.35547765,NA,0,0,0,0
80454,0,13.788694045,65.72805444,NA,0,0,13.788694045,0.209783998058044
80455,0,0,3.0994422045,NA,0,0,0,0
80456,0,0,2.6181602995,NA,0,0,0,0
80457,0,0,28.99071484,NA,0,0,0,0
80458,0,0,16.930568465,NA,0,0,0,0
80459,0,0,3.8234635515,NA,0,0,0,0
80460,0,0,3.1703614115,NA,0,0,0,0
80461,0,0,103.2616402,NA,0,0,0,0
80462,0,0,10.440446225,NA,0,0,0,0
80463,185.6370468,409.3373731,95.731878325,NA,25.96449726,74.22194337,695.16086053,6.21500831603995
80464,0,0,NA,NA,0,0,0,NA
80465,16.865756195,22.71312083,9.0957450375,NA,0,0,39.578877025,4.35136174791883
80468,118.9851598,216.5027867,11.657352045,NA,0,0,335.4879465,28.7790868119056
80469,0,0,2.4197754645,NA,0,0,0,0
80470,19.732323535,34.6189402,4.673991004,NA,0,0,54.351263735,11.6284485118791
80472,44.356925185,36.001906315,7.4786205725,NA,0,0,80.3588315,10.7451408613363
80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.53785137,12.2524517655096
80474,0,0,2.451596578,NA,0,0,0,0
80475,0,0,45.686196815,NA,0,0,0,0
80479,337.21877275,547.72364615,55.49856748,39.112616275,50.472569075,29.18533156,964.600319535,15.945320016033
80480,41.82797865,69.561297545,13.713732405,NA,0,0,111.389276195,8.12246242710611
80482,150.82088585,195.39229805,92.73129589,NA,20.3282355,45.231985525,411.773404925,3.73350960511418
80483,29.44445815,78.996688955,8.790732719,NA,0,0,108.441147105,12.3358485090348
80484,87.30158917,230.06411525,30.36026963,NA,17.97985566,19.246265405,354.591825485,10.4533229871714
80485,70.13850208,209.82553825,43.734751215,NA,15.8946415,35.73194809,331.59062992,6.40140923527144
80486,13.726291775,38.502994035,5.083918436,NA,0,0,52.22928581,10.2734311078157
80487,36.40941015,64.63067044,15.03091878,NA,0,0,101.04008059,6.72214932891814
80488,0,0,2.4512306655,NA,0,0,0,0
80489,0,0,2.398178604,0,0,0,0,0
