"Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
90281,0,0,11.64143207,NA,0,0,0,0
90282,0,0,162.33407125,NA,0,0,0,0
90283,0,0,12.49371108,NA,0,0,0,0
90284,0,0,57.06933117,NA,0,0,0,0
90285,0,0,10.060427735,NA,0,0,0,0
90286,255.9616726,911.8272218,130.7655406,NA,140.3122492,0,1308.1011436,8.93040237544049
90287,256.37309415,845.3408544,119.8024969,65.23826451,109.7698748,0,1211.48382335,9.19608503209753
90288,311.54587505,1002.23423865,85.98007311,NA,263.08836805,0,1576.86848175,15.2800534609827
90290,338.28278665,1507.209118,193.06260055,97.259849735,153.87488395,0,1999.3667886,9.55903369887555
90291,388.0796874,937.23202605,162.71214155,NA,143.66524025,0,1468.9769537,8.14513103217158
90292,313.35056655,672.6610443,142.6154732,NA,199.9663925,0,1185.97800335,6.91377722715434
90293,229.86865065,805.60880915,172.17339555,NA,181.29230895,48.716443405,1265.486212155,6.01415483787269
90294,135.44609505,426.5315461,47.81125181,30.0787393,86.029323965,0,648.006965115,11.7540875813768
90295,308.35354425,581.26454805,149.1221792,45.04587745,64.023977705,0,953.642070005,5.96569938202727
90296,265.6347068,768.98668645,NA,NA,155.74898535,21.391556825,1211.761935425,NA
90297,257.3595128,662.56008955,110.74131665,46.329332315,96.64179436,0,1016.56139671,8.30692310853972
90298,0,0,14.632840575,NA,0,0,0,0
90299,0,0,6.491649788,NA,0,0,0,0
90300,0,28.16437098,201.27862945,NA,0,0,28.16437098,0.139927279199784
90301,0,21.054891165,86.151398915,NA,0,0,21.054891165,0.244394071717553
90302,219.6325238,616.17627345,162.58792915,NA,62.34412803,0,898.15292528,5.14065713008068
90304,0,0,12.147805025,NA,0,0,0,0
90305,0,0,NA,NA,0,0,0,NA
90310,0,0,NA,NA,0,0,0,NA
90327,0,0,NA,NA,0,0,0,NA
90330,0,0,NA,NA,0,0,0,NA
90335,0,0,NA,NA,0,0,0,NA
90338,0,0,NA,NA,0,0,0,NA
90345,174.9602407,582.51656035,33.12014679,42.927615935,26.99923657,0,784.47603762,22.8705749963254
90348,326.544156,605.0857035,63.201088085,23.42436727,172.3945766,0,1104.0244361,14.7407250053518
90356,70.549965975,248.91674125,31.609139695,NA,0,0,319.466707225,10.1067827314368
90357,161.34712145,594.2120775,30.12091138,24.50576004,0,0,755.55919895,25.0842077591213
90359,60.52450424,222.4686435,19.960266555,NA,0,0,282.99314774,14.1778240766585
90360,28.19794999,56.13681663,9.456990349,NA,0,0,84.33476662,8.91771731890556
