"","Sample Name","AlphaVar","BetaVar","LutVar","LycoVar","PhytoVar","ZetaVar"
"187",90200,0.0260337545329619,0.0174468283191643,0.0363708959707725,0.0513625800597839,0.0219387081830788,NA
"188",90201,0.00848521196311782,0.0174535130037402,0.0234896401990078,0.0695309373826766,0.00920749221491252,0.0219494160723288
"189",90202,0.021145260891775,0.0156351603944102,0.0127519731353075,0.138364720351866,0.0110286682433351,0.0216576309301497
"190",90203,0.011587121145438,0.0108341812040301,0.00406161681735485,0.0249292152624936,0.00885674186180617,0.00261358997718784
"191",90204,0.0171813886848814,0.0130518611004989,0.0384981103408308,0.103856421415335,0.0038611640662987,1.4142135623731
"192",90205,NA,NA,0.00666260901947254,Inf,NA,NA
"193",90206,0.00930934591956869,0.00509872231942532,0.00657503918035748,0.0381975288563891,0.00643571923968456,NA
"194",90207,NA,0.00518483889885138,0.0193386266318472,Inf,NA,NA
"195",90208,NA,NA,0.012940952394844,Inf,NA,NA
"196",90209,0.00383222472226591,0.00655306518607885,0.0118691157630067,Inf,0.00367543182034273,NA
"197",90210,0.0162946137886914,0.00188031771629594,0.0143432513479947,0.0206846041807627,0.0124097090834804,NA
"198",90211,0.0023461881332906,0.00247436105507217,0.0129088127012389,0.0128734569269138,0.000607943837001855,NA
"199",90212,0.00460828909372768,0.00271364948966559,0.0316950529561248,0.106470879000337,0.00763500200272001,NA
"200",90213,0.0414963683981449,0.0213659239810374,0.0326870888070038,0.0928111544311184,0.0550146151180921,NA
"201",90214,0.0188633685876018,0.00796041653239949,0.0370255580863201,Inf,0.00265418611743829,0.0275889681429099
"202",90215,0.00753519151417658,0.00234857975438507,0.00106453391603196,0.00201213416608857,0.0116188436760683,NA
"203",90216,NA,NA,0.0437630111386928,Inf,NA,NA
"204",90217,0.00426016211303655,0.00333733183563047,0.00823474346910405,0.0271684897359672,0.00185700267087391,0.00939133773996382
"205",90218,NA,0.000614214935438157,0.0149139837151175,Inf,NA,NA
"206",90219,NA,1.4142135623731,0.095550608125611,Inf,NA,NA
"207",90220,NA,NA,0.17022472838326,Inf,NA,NA
"208",90221,0.0593167759938476,0.0680805674277049,0.0521206588208978,Inf,0.072484501061688,NA
"209",90222,NA,NA,0.030065125370893,Inf,NA,NA
"210",90223,0.0121415090662689,0.023296837407519,0.00624502194300791,0.0244068334048054,0.00802097881572081,NA
"211",90224,0.0200122679682675,0.0101275532563646,0.00125969133362093,Inf,0.00719335484390934,NA
"212",90225,0.0103688870145539,0.0188837159558618,0.00215330683023401,0.00461505051746059,0.0108703172851071,NA
"213",90226,0.0103163364329319,0.00219509434975356,0.0065242664320239,0.0121883715029539,0.00625629322123377,NA
"214",90227,0.00636548648072481,0.015591441712623,0.0197417293161274,Inf,0.0107067740056238,NA
"215",90228,0.0103460583931522,0.00376754475823841,0.00633861139304936,Inf,0.00126441672800986,NA
"216",90229,0.0513303934154061,0.0598782561910997,0.0455420344471908,0.0970809025651052,0.0528531923729987,0.113506072432756
"217",90230,0.0117406299061076,0.0169268916278023,0.00702801102272627,0.010772753421126,0.0194541324286737,NA
"218",90231,0.00980332861660704,0.0197248852478749,0.0144067580617189,0.114752279006136,0.0149583444490051,0.0143857310419665
"219",90232,0.00387889593556865,0.0171146491870674,0.00713626894375629,0.0107767591146186,0.00538353620321466,NA
"220",90233,0.0103612255679455,0.0100404609513398,0.0309874062453097,0.103549906304349,0.0111316326909431,NA
"221",90234,0.0137295251674619,0.0286084350068876,0.0337367081200786,0.0922177702963081,0.0304753110038991,NA
"222",90235,0.00441147830512883,0.00924654969014544,0.0211503585502932,Inf,0.0014913503501064,0.0241974920137179
"223",90236,0.00360241752189485,0.00188145470937815,0.00418917417701757,0.012742504442922,0.00856077495413821,0.0265799628469342
"224",90237,0.00200666093344927,0.00856550619186206,0.00715358265314589,0.016535100311504,0.00282718976656325,0.018162913238884
"225",90238,0.000977343810106415,0.0114993693217253,0.010842431101267,0.0640846015235562,0.00849495137221777,NA
"226",90240,0.00508361320999235,0.00828254799150062,0.0389692722700279,0.16936873850377,0.00115674614278506,NA
"227",90241,0.0111607749136647,0.00453143633536654,0.00430600046062664,Inf,0.00713220668536718,NA
"228",90242,0.0447184569796499,0.0601762669381899,0.0820119964241961,Inf,0.0654678049648612,NA
"229",90243,NA,NA,NA,NA,NA,NA
"230",90244,NA,NA,NA,NA,NA,NA
"231",90245,0.286683459621177,0.280920710463744,0.150356265294605,0.240305195377717,0.341880257223875,NA
"232",90246,0.337844128796989,0.334447983550932,0.199589052597975,0.646310144907138,0.3835393793395,NA
"233",90247,NA,NA,0.0995726117674147,Inf,NA,NA
"234",90248,0.113601318854194,0.124737921783869,0.0535957114516414,0.143642246136686,0.129347949282817,0.137355533491029
"235",90249,NA,NA,0.0989045261767056,Inf,NA,NA
"236",90250,0.461581969848352,0.476629333796451,0.231083214666177,0.783021708191363,0.552930712921497,NA
"237",90251,NA,NA,0.126399111006073,Inf,NA,NA
"238",90252,NA,NA,0.0777260615946971,Inf,NA,NA
"239",90253,0.0914406798404546,0.0805101643464109,0.0523662032224549,0.0866223958376838,0.102639801469365,NA
"240",90254,0.287499796044306,0.29578170829202,0.178151807887425,0.401089866560048,0.326832101681016,NA
"241",90255,0.103082062833274,0.114228295309168,0.070776235645854,0.0864053201245615,0.114540339452937,NA
"242",90256,0.241602145589309,0.244467657890522,0.14868254765151,0.240705179048542,0.279393972684698,NA
"243",90257,0.0781148230615984,0.0824675053270009,0.03797751491022,0.044147896917525,0.0903429875877383,NA
"244",90258,0.29132084001929,0.304735686875023,0.169296723517586,0.57858228590461,0.353250963620761,0.313853633157907
"245",90259,0.215405889461292,0.222357731009872,0.177136519919331,0.499687411098578,0.248068057744381,0.231402996955577
"246",90260,0.160181348882007,0.15780832854518,0.170146697967114,0.209869297954809,0.179960347417389,NA
"247",90261,NA,NA,0.0262802198233175,Inf,NA,NA
"248",90262,NA,NA,0.0196759766132465,Inf,NA,NA
"249",90263,0.0512355963357374,0.0523480215741687,0.0866107925721618,0.268653557198561,0.0600829374100147,NA
"250",90264,0.0249341123285443,0.0225574829378032,0.0308868841688239,Inf,0.0245556205616177,NA
"251",90265,NA,NA,0.00586891777377559,Inf,NA,NA
"252",90266,NA,0.00349076532386953,0.00828592448458815,0.00139287348985487,0.00706813181523559,NA
"253",90267,NA,0.0252639247244713,0.0348427497882477,0.0329589346443259,0.0224300838393683,NA
"254",90268,0.0263885681417121,0.0399223228048553,0.0632251461984804,0.132402328926391,0.0208312282448298,NA
"255",90269,0.00426128155392219,0.00152728003990473,0.031164117586785,0.0699889385892322,0.0125689440380852,NA
"256",90270,0.0143960602501951,0.0438761892755639,0.0789850709288388,0.0549368416569954,0.0456775341886947,NA
"257",90271,0.0175419642233353,0.0085174685509072,0.0295782001104359,Inf,0.0352154448793509,NA
"258",90272,0.0626265243786007,0.0476261145272365,0.119995630581955,Inf,NA,NA
"259",90273,0.0277084924346111,0.030779708559516,0.0368824813512723,0.0705711095528334,0.0227339741662682,NA
"260",90274,0.0547772042442056,0.0471020178195831,0.109218582535164,0.187588456120574,1.4142135623731,NA
"261",90275,0.0132367357020931,0.0199568360407069,0.0223593421567004,0.0576835444658547,0.0162910511054176,NA
"262",90276,0.0242354175800134,0.0287937989900002,0.0293091166976022,0.034938225082565,0.0541474594389588,NA
"263",90277,0.0108180322347008,0.0130043441873186,0.026210534891406,0.0685498147249687,0.00321989091898925,NA
"264",90278,NA,NA,0.0453508763121406,Inf,NA,NA
"265",90280,NA,NA,0.256700106264574,Inf,NA,NA
"266",90281,NA,NA,0.085017152816477,Inf,NA,NA
"267",90282,NA,NA,0.000911343390221157,Inf,NA,NA
"268",90283,NA,NA,0.0563367920623951,Inf,NA,NA
"269",90284,NA,NA,0.0124519521481262,Inf,NA,NA
"270",90285,NA,NA,0.0939118737439303,Inf,NA,NA
"271",90286,0.010974718370503,0.0182181825167123,0.053048005879782,0.111127572665799,0.00252251701900038,NA
"272",90287,0.00330822328933637,0.013470457393004,0.0151431044583359,0.0278085528263566,0.0211526561389676,NA
"273",90288,0.0411964564662615,0.0345272895458787,0.0719736244378906,0.434350286227063,0.0313386162263843,NA
"274",90290,0.0185460902425787,0.020144742306044,0.0286452258935471,0.0568613031936473,0.0106872831368483,NA
"275",90291,0.0681684469174526,0.0821480903733737,0.0821915611317983,0.222342012470731,0.0819049961009001,NA
"276",90292,0.00305623906021302,0.0190725702997526,0.0246900441184415,0.141821006343452,0.0145905971147473,NA
"277",90293,0.0056383706668853,0.00345159841746401,0.00136970950357102,Inf,0.00161535431747599,0.0167643121079178
"278",90294,0.0148737577335109,0.0280419555625393,0.0417970632826106,0.0664379546493627,0.0291095062072697,NA
"279",90295,0.00324620472755297,0.00913329506366334,0.0121440353410954,0.0402022364056748,0.0314123058286706,NA
"280",90296,0.0646807012140444,0.0717363297612083,0.103992570986622,0.346350556931908,0.076878851228369,1.4142135623731
"281",90297,0.00479778519219952,0.0193590127515148,0.0122415681294018,0.0292611031666372,0.019327267078536,NA
"282",90298,NA,NA,0.0484933232955926,Inf,NA,NA
"283",90299,NA,NA,0.0487463825100552,Inf,NA,NA
"284",90300,NA,0.0450860338648372,0.0124918953558447,Inf,NA,NA
"285",90301,NA,0.0831193762576365,0.00684550023243309,Inf,NA,NA
"286",90302,0.0139054139579977,0.019011379886511,0.0321163827456247,0.116001303362484,0.0101774523838556,NA
"287",90304,NA,NA,0.0103743572212099,Inf,NA,NA
"288",90305,NA,NA,0.508212388707496,Inf,NA,NA
"289",90306,0.219996769126725,0.233855727143602,0.277116314518195,1.51635854638555,0.235114490379125,0.247814095340657
"290",90307,0.335059975138895,0.288764243864969,0.291519795543329,Inf,0.266530241078179,NA
"291",90308,0.363601675274841,0.389605015299935,0.56543470047602,Inf,0.405862758489208,NA
"292",90309,0.373179249836402,0.372379692822639,0.50866171738459,Inf,0.358711631198223,NA
"293",90310,NA,NA,0.424820576085368,Inf,NA,NA
"294",90311,NA,0.294531981402199,0.324586425167743,0.294433954162142,0.379174993530818,NA
"295",90312,0.205086715841917,0.232650695566729,0.312741546281893,0.305257841267511,0.265722753500752,NA
"296",90313,0.270306983184631,0.291371437536241,0.482106578942007,0.813413974104432,0.280226823997325,1.41421356237309
"297",90314,0.568686235000491,0.60216579994887,0.810096332382098,1.05932839772565,1.4142135623731,NA
"298",90315,0.24352323933786,0.275435607995583,0.448815057175978,0.548696079553516,0.26807675974709,NA
"299",90316,0.384121402987039,0.407062677398186,0.620427272205041,1.21723668754892,0.414700684172886,NA
"300",90317,0.316398430939849,0.420203660764866,0.542419393794079,Inf,NA,NA
"301",90318,NA,1.4142135623731,0.522474315421489,Inf,NA,NA
"302",90319,0.326056891210991,0.339063062497426,0.54306567044988,0.867388214258338,0.340992823209489,NA
"303",90320,0.162577976732665,0.177994449993645,0.275911681404045,0.615111207164048,0.179073963400654,0.187360834975758
"304",90322,NA,1.41421356237309,0.649711640411379,Inf,NA,NA
"305",90323,0.252139703252835,0.276827798639903,0.331553946784268,1.22233931535238,0.317103512714107,NA
"306",90324,0.0681772435955261,0.101769079772915,0.149580485376958,Inf,NA,NA
"307",90325,0.28621284900077,0.319536412364849,0.390724838396806,1.52670271070936,0.323316308416959,NA
"308",90326,0.311004618380573,0.342327932718363,0.425505406902277,7.04006370581181,0.352274171428879,NA
"309",90327,NA,NA,0.334725103284345,Inf,NA,NA
"310",90330,NA,NA,0.547984911646003,Inf,NA,NA
"311",90331,0.214009662550271,0.227325419316109,0.464738083772961,2.77459892759633,0.231530834479671,NA
"312",90332,0.377852357180432,0.396664147284352,0.562285802180676,4.6225579840744,0.475108823917666,NA
"313",90334,NA,0.34251323495087,0.622734160427772,0.126129239853175,0.370381337881174,NA
"314",90335,NA,NA,0.131246724798127,Inf,NA,NA
"315",90336,NA,0.263619254218917,0.366628899239363,0.163407872583592,0.265911283675904,NA
"316",90337,NA,0.297065262981428,0.577248214709657,0.132066583261243,0.297631836392277,NA
"317",90338,NA,NA,0.416516099286223,Inf,NA,NA
"318",90339,0.612073074551767,0.617386048314776,0.866014083791906,1.40145036516596,1.4142135623731,NA
"319",90340,0.431410797051898,0.467702660967366,0.592958429299746,1.17303787544772,0.469860727419789,NA
"320",90341,0.452588164289646,0.484829775022839,0.606399154352933,1.33536706756846,0.605523967528491,NA
"321",90342,0.247808939636856,0.267006237229775,0.38998520616147,0.50274971167668,0.280756089060259,NA
"322",90343,0.249637919151509,0.280700268828099,0.424336762176498,0.792794436367651,0.280658952089109,NA
"323",90345,0.0169176406444894,0.0194166146468098,0.0569377308055245,0.0439294370557147,0.0355671411150427,NA
"324",90346,0.15447235917763,0.154490550857254,0.290809609719932,Inf,NA,NA
"325",90347,0.151217750236119,0.158758260515556,0.224224046615622,0.427636305387524,0.199410347016841,NA
"326",90348,0.0230408000552864,0.0197022560601714,0.0224256671454097,0.0605065036884529,0.00588179095582872,NA
"327",90349,0.194029826943307,0.202464686060615,0.196711628228699,0.646507154832727,NA,NA
"328",90350,0.145240234490193,0.150424282507108,0.195653055401654,0.635590755772905,0.168498590726503,NA
"329",90351,0.236779810188787,0.242435025828477,0.302492760257215,0.352854562392272,NA,NA
"330",90352,0.299880923677734,0.306011138503313,0.384504498556984,0.561255602585775,0.421245990853197,NA
"331",90354,0.162543686625527,0.104234911075138,0.0661900392834285,Inf,NA,NA
"332",90355,0.552093630789702,0.540012665539542,0.712557138920999,Inf,NA,NA
"333",90356,0.0308666558345466,0.034450148823457,0.0933990356952841,0.488881240699747,NA,NA
"334",90357,0.0419247452685903,0.0324460387876889,0.0527028407138898,0.0647789577644673,NA,NA
"335",90358,1.4142135623731,0.440867478140578,0.528083080408377,Inf,NA,NA
"336",90359,0.067810258031062,0.0694026260557859,0.05393458739534,Inf,NA,NA
"337",90360,0.0358791386649188,0.0556254172707657,0.0760128059344713,Inf,NA,NA
"338",90361,NA,NA,0.0397038566693181,Inf,NA,NA
"339",90362,0.00152562861066258,0.0397170757523184,0.0695288936193636,Inf,NA,NA
"340",90363,0.105487593221943,0.106122008563373,0.174080025278959,0.274362705775559,0.0937399176356581,NA
"341",90364,0.113530396320382,0.138485895421066,0.0803822397915945,0.167906447142873,NA,NA
"342",90365,0.120558083829251,0.142803048236376,0.124144341491721,Inf,NA,NA
"343",90366,0.0744596888503875,0.0861652163596379,0.0600414214438715,0.19589775305318,0.0929294576708993,NA
"344",90367,0.00104314575755648,0.00286105899630317,0.0272146942890776,0.0875707539963684,0.0157049998565557,NA
"345",90368,0.112889395226313,0.130533672497633,0.0766285244104856,0.0910723325050412,0.111986653310884,NA
"346",90369,0.177446778621375,0.195065028677344,0.166911750990221,0.469801203326288,0.174990254022317,NA
"347",90370,0.247068605498078,0.235886724023622,0.285958661503615,0.807785598530474,NA,NA
"348",90371,0.0816394813941795,0.0978126521208609,0.0603718804443024,0.166304733066851,NA,NA
"349",90372,0.131514554982105,0.14988197144911,0.214473645010819,Inf,NA,NA
"350",90373,0.000431989423345681,0.00406620742379304,0.0137968390130598,0.0483184517089969,0.0321120730988598,NA
"351",90374,0.141547005784539,0.146468372138612,0.145723040019039,Inf,NA,NA
"352",90375,NA,NA,0.246950472554595,Inf,NA,NA
