"Sample.Name","Alpha","Beta","Lutein","Lycopene","Phytoene","Zeta","Total","AB.ratio","Outer.Color","Inner.Color"
80549,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097,1659.024259,13.61251943,"1","1"
80551,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0,966.915076,15.49154992,"1","1"
80555,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248,1021.349239,5.912930426,"1","1"
80556,248.631556,177.3466419,15.87089748,NA,0,0,425.9781979,26.84020853,"1","1"
80559,83.2536806,225.2454295,17.87016104,NA,0,0,308.4991101,17.26336485,"1","1"
80560,13.28542797,28.06862805,4.633065458,NA,0,0,41.35405602,8.925851878,"1","1"
80561,284.0873606,371.3688265,104.3159627,NA,0,0,655.4561871,6.283373801,"1","1"
80562,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777,1217.838967,18.86288368,"1","1"
80563,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249,273.3096133,2.092748156,"1","2"
80564,438.1998159,900.1769772,85.70186926,46.7359039,39.98070827,38.8716463,1417.229148,15.61665813,"1","1"
80565,272.6090003,448.0963127,95.9694355,NA,21.15102756,NA,NA,7.509737961,"1","1"
80569,342.3252512,703.1508256,53.10057594,27.63204587,16.80002789,NA,NA,19.68860146,"1","1"
80570,387.1660762,517.1679157,147.6011137,15.68277045,NA,28.96981148,NA,6.126877836,"1","1"
80571,228.8570689,441.0135887,99.08545162,NA,11.69082367,0,681.5614812,6.760534938,"1","1"
80572,383.7507291,617.1017699,57.79265248,NA,26.62015044,0,1027.472649,17.31798864,"1","1"
80574,8.594896057,28.85966366,NA,NA,0,0,37.45455971,NA,"1","2"
80581,481.9921769,830.1825167,NA,NA,0,0,1312.174694,NA,"1","1"
80582,8.550507192,11.921736,3.847665876,NA,0,0,20.47224319,5.320691518,"1","1"
80587,8.099701712,20.92779997,10.13809624,NA,0,0,29.02750168,2.863210311,"1","1"
80588,188.3175345,352.218454,22.36040317,NA,0,0,540.5359885,24.17380333,"1","1"
80590,120.1373866,187.7803389,27.01935527,NA,0,0,307.9177255,11.39619071,"1","1"
80591,91.19366153,188.9956309,62.56821354,NA,13.69230861,0,293.881601,4.478141161,"1","1"
80592,361.9811147,490.0497707,36.01328105,13.24707024,41.43219731,0,893.4630827,23.65879644,"1","1"
80593,301.7703775,371.920709,27.86430933,10.21012365,0,0,673.6910864,24.17756272,"1","1"
80594,630.4506027,820.1827975,NA,NA,18.06274894,0,1468.696149,NA,"1","1"
80603,54.31617573,81.98207458,9.01195229,NA,0,0,136.2982503,15.12416466,"1","1"
80604,139.5196017,392.4476355,81.2033259,13.66893446,NA,0,NA,6.551052328,"1","1"
80606,93.36456017,198.9791883,56.44898307,NA,0,0,292.3437485,5.17890195,"1","1"
80607,25.65413297,31.22682434,5.349459011,NA,0,0,56.88095731,10.63302984,"1","1"
80608,88.49051371,150.2593247,23.13658659,NA,0,0,238.7498384,10.31914701,"1","1"
80611,174.6802987,601.0580567,84.71421807,NA,25.29643652,19.52268014,820.5574721,9.15712112,"1","1"
80612,645.8488029,751.4688818,196.6512128,42.75187531,63.92941037,83.71989244,1544.966987,7.105563524,"1","1"
80613,31.58647039,74.73445832,39.97172394,NA,0,0,106.3209287,2.659903508,"1","1"
80614,104.7574163,327.302541,41.0019857,9.266326129,0,0,432.0599573,10.53753739,"1","1"
80616,442.4068025,597.4971649,76.6838031,19.56876282,0,34.00408864,1073.908056,13.56093367,"1","1"
80618,252.4017485,458.2966578,59.78879598,NA,0,22.60390467,733.3023109,11.88681582,"1","1"
80620,283.8861036,371.2440363,46.47984873,NA,17.5077066,0,672.6378465,14.0949284,"1","1"
80622,163.690456,318.9696755,41.41812775,9.487382848,0,0,482.6601314,11.65335464,"1","2"
80623,78.56267497,133.3184892,169.8806927,NA,0,0,211.8811642,1.247235109,"1","2"
80625,65.04952918,207.4296618,32.74354469,NA,0,0,272.4791909,8.321615558,"1","1"
80626,555.4345021,1065.599333,84.02287809,NA,33.18775766,77.59314351,1731.814736,19.2927673,"1","1"
80627,45.33194881,107.7939996,8.871287809,NA,0,0,153.1259484,17.26084777,"1","1"
80628,166.8059079,475.8308526,41.59776926,NA,16.10372101,31.52396211,690.2644436,15.44882747,"1","1"
80629,48.9008788,143.4269857,27.80044736,NA,0,0,192.3278645,6.918157181,"1","1"
80630,371.6267766,556.5807852,57.34501761,40.57624969,18.97365443,0,947.1812162,16.18636807,"1","1"
80631,112.5940811,276.2893506,79.24085191,NA,29.48395703,54.96208691,473.3294756,4.907612959,"1","1"
80632,56.5806663,134.2955998,30.92813479,NA,0,0,190.8762661,6.171606125,"1","2"
80633,311.7889845,518.5159323,57.31044438,22.0468374,40.47433008,22.97189862,893.7511455,14.48784643,"1","1"
80634,89.51704819,189.9751152,100.5048932,NA,34.97948776,48.34610161,362.8177528,2.780881155,"1","2"
80635,51.21090705,101.5788526,35.58097941,NA,0,0,152.7897596,4.29414148,"1","2"
80636,12.00527582,17.38179891,4.126388092,NA,0,0,29.38707473,7.12174281,"1","1"
80637,55.3176732,145.5522507,93.56620168,NA,0,NA,NA,2.146821398,"1","2"
80639,25.58278021,31.90709374,4.420806133,NA,0,0,57.48987395,13.00438703,"3","1"
80642,54.01089242,135.6089784,46.41681232,NA,0,0,189.6198708,4.085154955,"1","2"
80646,126.3067985,192.4762783,52.72279468,NA,0,0,318.7830768,6.046399451,"1","1"
80649,92.90509416,169.5614517,17.97569063,0,0,0,262.4665459,14.60119398,"1","1"
80656,967.1478078,1062.274381,120.4926292,19.3376291,64.29782759,47.18730078,2140.907317,16.84270816,"1","1"
80657,25.25850775,44.12668272,13.18902882,0,0,0,69.38519047,5.260826359,"1","1"
80658,0,11.26828601,4.01743205,NA,0,0,11.26828601,2.80484794,"1","1"
80659,669.752015,1383.044732,131.8279251,74.12027398,NA,69.48860364,NA,15.57178986,"1","1"
80666,18.21288925,16.51546758,6.027772965,NA,0,0,34.72835683,5.761390987,"1","1"
80670,47.80634276,427.9758799,122.0230399,NA,13.55307114,0,489.3352937,3.899117929,"1","1"
80686,42.87703458,58.83782934,17.13722185,NA,0,0,101.7148639,5.935318152,"1","1"
80692,122.2671343,249.8834023,35.42224972,NA,NA,0,NA,10.50612368,"1","1"
80693,195.5910425,366.8241792,171.5532669,NA,21.05256161,29.94617844,613.4139617,3.278370806,"1","1"
80695,91.39212417,178.6484353,95.66570869,NA,0,0,270.0405594,2.822751884,"1","1"
80701,227.6841787,351.397465,236.1062967,NA,62.35064734,22.27357727,663.7058683,2.452631089,"1","2"
80711,62.06207722,58.36041103,28.49950793,NA,0,0,120.4224883,4.22542342,"1","2"
80712,687.8535112,703.0624511,130.5143398,NA,0,0,1390.915962,10.65718882,"1","2"
80714,107.5110818,129.9386455,39.44890649,NA,0,0,237.4497273,6.019171339,"1","2"
80719,331.7499887,614.417256,54.00665116,NA,13.27292792,0,959.4401726,17.51945778,"1","1"
80720,138.1022066,147.9067623,NA,NA,0,0,286.0089688,NA,"1","1"
80723,392.7093711,709.4055258,68.30773498,16.72942804,23.83803891,58.99421418,1184.94715,16.13455485,"1","1"
80725,797.1731356,795.0579536,57.44538182,NA,NA,74.54190882,NA,27.71730361,"1","1"
80727,990.1020338,517.5268435,58.99568114,30.01428361,16.03761083,0,1523.666488,25.55490246,"1","1"
80731,107.9908443,96.16267654,7.129482153,NA,0,0,204.1535208,28.63511212,"1","1"
80733,262.4720158,311.0028383,39.28817163,NA,15.80056056,19.39919162,608.6746063,14.59662871,"1","1"
80739,0,9.06395825,3.230011773,NA,0,0,9.06395825,2.806168797,"1","1"
80741,6.861338636,18.25502434,4.610738373,NA,0,0,25.11636298,5.447362428,"1","1"
80742,77.95180435,99.93030121,14.68738467,NA,0,NA,NA,12.11121718,"1","1"
80743,210.2701257,294.9315231,31.71010178,NA,0,14.85317633,520.0548251,15.93188354,"1","1"
80745,110.6923869,153.7020619,14.84457699,NA,0,0,264.3944488,17.81084425,"1","2"
80746,523.3395906,859.9950296,111.3114641,NA,52.09356648,77.20293773,1512.631124,12.42760242,"1","1"
80747,72.70566032,174.2356471,NA,NA,0,0,246.9413074,NA,"1","2"
