"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80167,"PI 211024","Yellow","Yellow","Yellow",0,0,17.83112273,NA,0,0,0,0
80168,"PI 211590","Yellow","Yellow","Yellow",0,0,33.05107938,NA,0,0,0,0
80170,"PI 211592","Yellow","Yellow","Yellow",0,0,1.897016455,NA,0,0,0,0
80171,"PI 212096","Yellow","Yellow","Yellow",0,0,37.1880379,NA,0,0,0,0
80173,"PI 218076","Orange","Orange","Orange",17.80836702,114.3889921,216.8314553,NA,12.71370158,0,0.60967795902627,144.9110607
80174,"PI 219914","White","White","White",0,0,21.64006928,NA,0,0,0,0
80175,"PI 220014","Yellow","Yellow","Yellow",0,0,106.1945741,NA,0,0,0,0
80176,"PI 220285","Yellow","Yellow","Yellow",0,0,70.43167318,NA,0,0,0,0
80177,"PI 220517","Yellow","Yellow","Yellow",0,0,49.36173283,NA,0,0,0,0
80180,"PI 220795","Yellow","Yellow","Yellow",0,0,35.06801162,NA,0,0,0,0
80181,"PI 221924","Yellow","Yellow","Yellow",0,0,23.33080516,NA,0,0,0,0
80182,"PI 222249","Yellow","Yellow","Yellow",0,NA,47.31846065,NA,0,0,NA,NA
80183,"PI 222250","Orange","Orange","Orange",93.66843513,298.3384192,113.1026489,NA,0,0,3.46593875689502,392.00685433
80185,"PI 222794","White","White","White",0,0,19.93517616,NA,0,0,0,0
80187,"PI 223361","White","White","White",0,0,35.37535893,NA,0,0,0,0
80188,"PI 223362","White","Yellow","Yellow",0,0,57.15088617,NA,0,0,0,0
80189,"PI 223504","White","White","White",0,0,3.758561399,0,0,0,0,0
80191,"PI 224689","Orange","Orange","Orange",94.656376,119.6390833,35.44316945,NA,13.52335292,0,6.04617088780135,227.81881222
80192,"PI 225866","Orange","Orange","Orange",372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,8.09420409767144,1090.82312854
80194,"PI 225867","Orange","Orange","Orange",231.5393953,329.020149,67.49440802,NA,0,0,8.30527388482161,560.5595443
80196,"PI 225869","Orange","Orange","Orange",232.660856,270.0277919,33.60589441,NA,0,0,14.9583475376991,502.6886479
80197,"PI 225870","Orange","Orange","Orange",385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,9.54608263881328,1089.65629485
80199,"PI 225872","Orange","Orange","Orange",53.63198653,95.6629399,17.16650916,NA,0,0,8.69687162593749,149.29492643
80200,"PI 225937","Orange","Yellow","Orange",64.69980175,166.0309814,88.6322208,NA,0,0,2.60323820239874,230.73078315
80201,"PI 226043","Orange","Orange","Orange",627.6969058,625.3200691,192.7990241,NA,45.52441989,0,6.49908359624316,1298.54139479
80203,"PI 226310","Orange","Orange","Orange",159.3210816,256.9038464,63.63765841,NA,32.73273045,0,6.54054436318786,448.95765845
80204,"PI 226464","Orange","Orange","Orange",148.016089,330.3933035,96.4186608,13.34330909,0,0,4.96179254649013,478.4093925
80205,"PI 227014","Orange","Yellow","Orange",0,19.68249385,88.67106176,NA,0,0,0.221972010477029,19.68249385
80206,"PI 227116","Orange","Yellow","Orange",11.22932124,27.4028437,164.6771361,NA,0,0,0.234593373767082,38.63216494
80208,"PI 230243","Yellow","Yellow","Yellow",0,0,128.4010286,NA,0,0,0,0
