Sample.Name,PI,Alpha,Beta,Lutein,Lycopene,Phytoene,Zeta,Total,AB.Ratio,Year
80485,PI 502918,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809,331.5906299,6.401409235,2018
80486,PI 502919,13.72629178,38.50299404,5.083918436,NA,0,0,52.22928581,10.27343111,2018
80487,PI 502920,36.40941015,64.63067044,15.03091878,NA,0,0,101.0400806,6.722149329,2018
80490,PI 503344,12.37280095,46.8334447,10.24095886,NA,0,0,59.20624565,5.781318574,2018
80491,PI 503345,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834,681.7461035,7.597496756,2018
80492,PI 506444,6.631116122,23.33904057,5.322347275,NA,0,0,29.97015669,5.631003605,2018
80493,PI 506445,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592,770.0930931,5.401347246,2018
80494,PI 508470,17.99880042,12.78983686,4.078305557,NA,0,0,30.78863728,7.549369916,2018
80547,PI 632392,266.9949183,414.0564489,68.65506511,NA,0,0,681.0513672,9.919899807,2018
80549,PI 632394,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097,1659.024259,13.61251943,2018
80551,PI 634649,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0,966.915076,15.49154992,2018
80555,PI 634653,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248,1021.349239,5.912930426,2018
80556,PI 634654,248.631556,177.3466419,15.87089748,NA,0,0,425.9781979,26.84020853,2018
80559,PI 634657,83.2536806,225.2454295,17.87016104,NA,0,0,308.4991101,17.26336485,2018
80560,PI 634658,13.28542797,28.06862805,4.633065458,NA,0,0,41.35405602,8.925851878,2018
80561,PI 642755,284.0873606,371.3688265,104.3159627,NA,0,0,655.4561871,6.283373801,2018
80562,PI 642756,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777,1217.838967,18.86288368,2018
80563,PI 642757,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249,273.3096133,2.092748156,2018
80564,PI 642758,438.1998159,900.1769772,85.70186926,46.7359039,39.98070827,38.8716463,1417.229148,15.61665813,2018
80565,PI 642759,272.6090003,448.0963127,95.9694355,NA,21.15102756,NA,NA,7.509737961,2018
80569,PI 643115,342.3252512,703.1508256,53.10057594,27.63204587,16.80002789,NA,NA,19.68860146,2018
80570,PI 643116,387.1660762,517.1679157,147.6011137,15.68277045,NA,28.96981148,NA,6.126877836,2018
80571,PI 643117,228.8570689,441.0135887,99.08545162,NA,11.69082367,0,681.5614812,6.760534938,2018
80572,PI 643118,383.7507291,617.1017699,57.79265248,NA,26.62015044,0,1027.472649,17.31798864,2018
80574,PI 643120,8.594896057,28.85966366,NA,NA,0,0,37.45455971,NA,2018
80581,PI 652124,481.9921769,830.1825167,NA,NA,0,0,1312.174694,NA,2018
80582,PI 652125,8.550507192,11.921736,3.847665876,NA,0,0,20.47224319,5.320691518,2018
80587,PI 652130,8.099701712,20.92779997,10.13809624,NA,0,0,29.02750168,2.863210311,2018
80588,PI 652131,188.3175345,352.218454,22.36040317,NA,0,0,540.5359885,24.17380333,2018
80590,PI 652133,120.1373866,187.7803389,27.01935527,NA,0,0,307.9177255,11.39619071,2018
80591,PI 652134,91.19366153,188.9956309,62.56821354,NA,13.69230861,0,293.881601,4.478141161,2018
80592,PI 652135,361.9811147,490.0497707,36.01328105,13.24707024,41.43219731,0,893.4630827,23.65879644,2018
80593,PI 652136,301.7703775,371.920709,27.86430933,10.21012365,0,0,673.6910864,24.17756272,2018
80594,PI 652137,630.4506027,820.1827975,NA,NA,18.06274894,0,1468.696149,NA,2018
80603,PI 652148,54.31617573,81.98207458,9.01195229,NA,0,0,136.2982503,15.12416466,2018
80604,PI 652149,139.5196017,392.4476355,81.2033259,13.66893446,NA,0,NA,6.551052328,2018
80606,PI 652152,93.36456017,198.9791883,56.44898307,NA,0,0,292.3437485,5.17890195,2018
80607,PI 652153,25.65413297,31.22682434,5.349459011,NA,0,0,56.88095731,10.63302984,2018
80608,PI 652154,88.49051371,150.2593247,23.13658659,NA,0,0,238.7498384,10.31914701,2018
80611,PI 652156,174.6802987,601.0580567,84.71421807,NA,25.29643652,19.52268014,820.5574721,9.15712112,2018
80613,PI 652158,31.58647039,74.73445832,39.97172394,NA,0,0,106.3209287,2.659903508,2018
80614,PI 652159,104.7574163,327.302541,41.0019857,9.266326129,0,0,432.0599573,10.53753739,2018
80616,PI 652161,442.4068025,597.4971649,76.6838031,19.56876282,0,34.00408864,1073.908056,13.56093367,2018
80618,PI 652163,252.4017485,458.2966578,59.78879598,NA,0,22.60390467,733.3023109,11.88681582,2018
80620,PI 652165,283.8861036,371.2440363,46.47984873,NA,17.5077066,0,672.6378465,14.0949284,2018
80622,PI 652167,163.690456,318.9696755,41.41812775,9.487382848,0,0,482.6601314,11.65335464,2018
80623,PI 652168,78.56267497,133.3184892,169.8806927,NA,0,0,211.8811642,1.247235109,2018
80625,PI 652170,65.04952918,207.4296618,32.74354469,NA,0,0,272.4791909,8.321615558,2018
80626,PI 652171,555.4345021,1065.599333,84.02287809,NA,33.18775766,77.59314351,1731.814736,19.2927673,2018
80627,PI 652172,45.33194881,107.7939996,8.871287809,NA,0,0,153.1259484,17.26084777,2018
80629,PI 652174,48.9008788,143.4269857,27.80044736,NA,0,0,192.3278645,6.918157181,2018
80630,PI 652175,371.6267766,556.5807852,57.34501761,40.57624969,18.97365443,0,947.1812162,16.18636807,2018
80631,PI 652176,112.5940811,276.2893506,79.24085191,NA,29.48395703,54.96208691,473.3294756,4.907612959,2018
80632,PI 652177,56.5806663,134.2955998,30.92813479,NA,0,0,190.8762661,6.171606125,2018
80633,PI 652178,311.7889845,518.5159323,57.31044438,22.0468374,40.47433008,22.97189862,893.7511455,14.48784643,2018
80634,PI 652179,89.51704819,189.9751152,100.5048932,NA,34.97948776,48.34610161,362.8177528,2.780881155,2018
80635,PI 652180,51.21090705,101.5788526,35.58097941,NA,0,0,152.7897596,4.29414148,2018
80636,PI 652181,12.00527582,17.38179891,4.126388092,NA,0,0,29.38707473,7.12174281,2018
80637,PI 652182,55.3176732,145.5522507,93.56620168,NA,0,NA,NA,2.146821398,2018
80639,PI 652188,25.58278021,31.90709374,4.420806133,NA,0,0,57.48987395,13.00438703,2018
80642,PI 652200,54.01089242,135.6089784,46.41681232,NA,0,0,189.6198708,4.085154955,2018
80646,PI 652204,126.3067985,192.4762783,52.72279468,NA,0,0,318.7830768,6.046399451,2018
80649,PI 652207,92.90509416,169.5614517,17.97569063,0,0,0,262.4665459,14.60119398,2018
80656,PI 652216,967.1478078,1062.274381,120.4926292,19.3376291,64.29782759,47.18730078,2140.907317,16.84270816,2018
80658,PI 652231,0,11.26828601,4.01743205,NA,0,0,11.26828601,2.80484794,2018
80666,PI 652248,18.21288925,16.51546758,6.027772965,NA,0,0,34.72835683,5.761390987,2018
80670,PI 652254,47.80634276,427.9758799,122.0230399,NA,13.55307114,0,489.3352937,3.899117929,2018
80686,PI 652277,42.87703458,58.83782934,17.13722185,NA,0,0,101.7148639,5.935318152,2018
80692,PI 652283,122.2671343,249.8834023,35.42224972,NA,NA,0,NA,10.50612368,2018
80693,PI 652284,195.5910425,366.8241792,171.5532669,NA,21.05256161,29.94617844,613.4139617,3.278370806,2018
80695,PI 652286,91.39212417,178.6484353,95.66570869,NA,0,0,270.0405594,2.822751884,2018
80711,PI 652400,62.06207722,58.36041103,28.49950793,NA,0,0,120.4224883,4.22542342,2018
80712,PI 652401,687.8535112,703.0624511,130.5143398,NA,0,0,1390.915962,10.65718882,2018
80714,PI 652403,107.5110818,129.9386455,39.44890649,NA,0,0,237.4497273,6.019171339,2018
80033,Seminis 397694,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.0324847,17.18092721,2018
80719,Seminis 397694,331.7499887,614.417256,54.00665116,NA,13.27292792,0,959.4401726,17.51945778,2018
80065,Vilmorin I04428,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.5609873,19.91897234,2018
80723,Vilmorin I04428,392.7093711,709.4055258,68.30773498,16.72942804,23.83803891,58.99421418,1184.94715,16.13455485,2018
80771,W133B,34.12921809,71.54644963,6.402704228,NA,0,0,105.6756677,16.50484919,2018
80773,W255B,13.82623821,27.44469388,5.350826516,NA,0,0,41.27093209,7.713001339,2018
80774,W259B,14.42112027,13.99091916,4.298116306,NA,0,0,28.41203943,6.610346815,2018
80783,W278B,478.2809524,735.8948238,86.11518,50.05522048,12.42551734,0,1226.601293,14.09943957,2018
80784,W279B,52.3480382,81.17500045,11.82125644,NA,0,0,133.5230387,11.29516472,2018
80786,W281C,395.6803148,930.2543815,73.81690695,NA,14.64783983,0,1340.582536,17.96247975,2018
80788,W285B,699.3168034,944.1275954,152.0194604,56.45702862,30.48041308,63.14670615,1737.071518,10.81075011,2018
90024,Ames 29182,187.8265118,679.7612704,49.77633809,0,76.8868796,0,944.4746618,17.42972295,2019
90002,Ames 7701,611.9940507,1219.299988,97.06455139,47.4668498,92.35847118,0,1923.65251,18.86676457,2019
90003,Ames 7702,150.4932993,317.0559409,42.65803351,0,39.57637956,0,507.1256198,10.96040304,2019
90004,Ames 7705,768.6158112,1605.396379,69.0279498,59.14013328,167.2237013,0,2541.235892,34.3920426,2019
90005,Ames 7706,392.8818481,1467.215777,86.9699011,68.00892644,180.1640624,0,2040.261688,21.3878319,2019
90006,Ames 7711,584.4175655,1277.534902,178.6471331,71.31943308,232.5132284,30.03557638,2124.501272,10.42251524,2019
90007,Ames 7713,594.423525,1218.880783,152.5662966,63.12176503,211.0511807,0,2024.355489,11.88535311,2019
90008,Ames 7715,287.7148752,781.4970917,82.8121441,0,106.7821425,0,1175.994109,12.91129433,2019
90047,NSL 199856,1195.415791,1515.422185,48.02116275,78.74448035,320.6349528,0,3031.472929,56.45090249,2019
90048,NSL 199857,282.6862811,413.3016032,31.48920967,13.72240204,14.5208122,0,710.5086965,22.10242466,2019
90049,NSL 199859,322.7541271,835.9404862,111.7860467,43.40672037,54.29674939,0,1212.991363,10.3652884,2019
90052,NSL 199865,166.9626062,501.3765617,71.94529557,23.17518255,70.73125323,0,739.0704211,9.28954649,2019
90053,NSL 199868,165.871747,292.0665196,102.0742893,6.49722633,0,0,457.9382666,4.486323341,2019
90037,NSL 22994,174.586169,685.3575004,59.86165959,52.52155809,26.93640893,0,886.8800783,14.36551668,2019
90038,NSL 26501,35.41904095,110.5083012,24.73525653,0,26.50968298,0,172.4370251,5.899568576,2019
90039,NSL 26502,531.0446969,1141.824009,96.30116996,59.86522727,170.1964342,0,1843.06514,17.37121892,2019
90040,NSL 26503,140.3121403,653.9294786,29.57157257,28.41031447,41.75618981,0,835.9978087,26.85828145,2019
90041,NSL 32746,114.8304538,486.8082544,34.82805842,0,98.07771684,0,699.716425,17.27454057,2019
90042,NSL 34344,447.8479898,1194.160647,44.13106701,25.66048357,125.7688705,40.86560605,1808.643113,37.20754444,2019
90043,NSL 34346,760.7506271,1181.107416,56.69561733,35.06062846,152.6769038,0,2094.534947,34.25058469,2019
90045,NSL 54098,1107.654802,2028.478994,106.6069762,75.29862645,173.1442992,0,3309.278095,29.41771644,2019
90029,NSL 6162,660.1383943,1375.730556,141.4912231,72.72325878,89.60555326,0,2125.474504,14.38865893,2019
90030,NSL 6166,530.9258643,1095.953575,82.60147456,45.51288619,52.12827832,0,1679.007718,19.69552539,2019
90032,NSL 6172,392.4812574,1202.594725,67.4392743,52.27149264,145.0313849,0,1740.107367,23.65203361,2019
90046,NSL 65838,420.1310233,1498.562004,71.1377493,42.56564345,195.8337908,0,2114.526818,26.97151718,2019
90035,NSL 6619,442.9870107,635.1772195,116.4282123,39.36752782,65.94862088,0,1144.112851,9.260334836,2019
90036,NSL 9333,246.3921103,809.2373769,50.05777356,41.4534157,71.51039662,0,1127.139884,21.08822291,2019
90063,PI 164461,228.0218477,602.4151347,102.3000506,23.7004044,97.54115128,0,927.9781337,8.117659547,2019
90069,PI 165051,223.1433237,365.6699401,138.202468,11.81286345,87.12811211,0,675.9413759,4.260511931,2019
90071,PI 165522,46.10216849,139.8514286,20.26405297,6.349671874,22.69286857,0,208.6464657,9.176525415,2019
90077,PI 169482,411.9475744,817.2851174,79.27349818,52.62241378,81.29549176,0,1310.528184,15.50622491,2019
90080,PI 169485,440.8308094,596.623218,116.5687538,0,76.76307378,0,1114.217101,8.899932388,2019
90084,PI 169489,46.40856381,130.2407106,67.49571984,0,0,0,176.6492744,2.617192243,2019
90111,PI 175719,205.8577721,646.4378714,53.42591864,33.25430979,56.54685071,0,908.8424942,15.95284958,2019
90142,PI 181766,31.04334543,88.27151825,NA,NA,0,0,119.3148637,NA,2019
90150,PI 187234,481.0582908,1394.11139,112.5872493,NA,239.3041609,0,2114.473841,16.65525797,2019
90151,PI 187235,344.5136962,1316.732265,134.8261601,90.67987043,107.1090521,0,1768.355013,12.32139193,2019
90152,PI 187236,170.7544409,803.1836577,75.30984124,NA,103.3783601,0,1077.316459,12.93241471,2019
90153,PI 187237,489.9635903,1503.737478,105.0571749,95.87906734,84.19063222,0,2077.8917,18.97729565,2019
90154,PI 193504,588.8198969,1127.379432,162.8204194,114.8932818,91.41324769,0,1807.612576,10.54044287,2019
90155,PI 196847,66.44383914,188.8798586,NA,NA,0,0,255.3236977,NA,2019
90162,PI 205997,531.754549,1372.725822,121.603506,86.08252659,110.2378378,0,2014.718208,15.6613936,2019
90163,PI 205998,284.3213115,733.8026161,98.32619396,NA,89.17556327,0,1107.299491,10.35455443,2019
90164,PI 205999,892.0741433,2516.53717,194.0960678,68.68961359,347.2029711,33.93628254,3789.750566,17.56146506,2019
90183,PI 222250,355.0469681,1202.015736,109.3777765,63.65306935,113.9719358,0,1671.034639,14.23564049,2019
90191,PI 224689,1207.798833,2213.054844,151.0211217,63.76104757,151.8752414,0,3572.728918,22.65149166,2019
90192,PI 225866,614.9395572,2047.680012,102.0932213,80.8159921,176.0480296,0,2838.667598,26.08027776,2019
90194,PI 225867,821.6688981,1689.227842,84.97626684,49.97274347,71.19521931,0,2582.091959,29.54821191,2019
90196,PI 225869,365.8374182,871.3987037,75.27705969,NA,43.41246129,0,1280.648583,16.43576578,2019
90197,PI 225870,366.0660821,1382.093619,79.02899336,29.96020069,176.8089903,0,1924.968691,22.12048549,2019
90198,PI 225871,264.2404335,870.9187171,49.56449062,NA,101.6259848,0,1236.785135,22.90266956,2019
90199,PI 225872,187.3385609,675.138572,77.17058389,NA,100.1594875,0,962.6366204,11.17624216,2019
90200,PI 225937,211.9570633,709.9307772,53.33695305,37.76898996,96.87683759,0,1018.764678,17.28422394,2019
90201,PI 226043,1258.346544,2179.996975,169.9829914,57.42536283,362.9923117,76.84098192,3878.176812,20.2275739,2019
90203,PI 226310,215.4519692,1011.956523,103.0777613,16.79404524,393.0452114,51.91235576,1672.366059,11.90759749,2019
90209,PI 230723,318.683896,921.2577842,84.41101533,NA,180.2763847,0,1420.218065,14.68933498,2019
90211,PI 234619,416.4912858,2060.567997,140.820992,141.207744,139.363849,0,2616.423132,17.59012806,2019
90212,PI 234620,1010.895339,1763.829229,156.5673978,NA,126.3076311,0,2901.032199,17.72223724,2019
90213,PI 234621,706.9645909,753.4959714,123.5210388,43.50277925,86.90274402,0,1547.363306,11.8235774,2019
90224,PI 261614,142.5460977,261.4744802,36.08890821,NA,46.74052054,0,450.7610984,11.19514549,2019
90227,PI 261647,213.5436689,756.7916635,54.73466535,NA,105.6032147,0,1075.938547,17.72798511,2019
90229,PI 261649,656.6360362,1445.668232,135.4027647,63.5193659,334.3157481,75.07857612,2511.698592,15.52630239,2019
90230,PI 261650,1132.788008,3232.830356,195.8121897,127.7454495,138.4452986,0,4504.063663,22.29492643,2019
90231,PI 261781,743.2742778,1728.3321,143.0989796,NA,316.4060323,87.94523074,2875.957641,17.27200561,2019
