Sample Name,Outer Color,Inner Color,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),Total (ug/g),AB.Ratio
90395,Orange,Orange,Orange,184.387601,574.5243411,51.49048508,NA,69.30379473,0,828.2157368,14.73887731
90397,Orange,Orange,Orange,182.5676109,451.7916742,NA,NA,0,0,634.3592851,NA
90400,Orange,Orange,Orange,208.8591614,780.0522674,68.54828381,28.12994484,117.7595968,0,1106.671026,14.42649435
90401,Orange,Orange,Orange,54.09941338,208.0016506,NA,NA,0,0,262.1010639,NA
90403,Orange,Orange,Orange,126.1908774,372.709068,37.52287221,NA,NA,0,NA,13.29588904
90410,Orange,Orange,Orange,104.0090326,381.8085036,64.82165224,7.646637235,192.351898,0,678.1694341,7.49467993
90411,Orange,Yellow,Orange,33.13840574,253.4753918,114.7856821,NA,123.2894627,0,409.9032602,2.496947288
90412,Orange,Orange,Orange,525.8912701,1015.936909,96.585871,52.96342685,68.83355643,0,1610.661736,15.96328908
90414,Orange,Orange,Orange,108.6531835,218.1386934,14.3052664,NA,0,0,326.7918769,22.84416577
90415,Orange,Orange,Orange,399.2659171,1458.301399,72.65162462,36.91431899,294.9818425,52.22067768,2204.769836,25.56814559
90419,Orange,Orange,Orange,435.1488352,1761.982031,77.72544297,72.70969036,272.1144084,0,2469.245274,28.26784618
90429,Orange,Orange,Orange,386.095734,1129.662669,127.0784359,NA,94.5730263,0,1610.331429,11.92773889
90433,Orange,Yellow,Orange,30.53479352,110.9083442,NA,NA,0,0,141.4431377,NA
90436,Orange,Orange,Orange,297.5494682,938.7746792,117.0829822,50.71857574,134.261113,0,1370.58526,10.55938382
90439,Orange,Yellow,Orange,195.0344243,652.8857347,77.53618417,20.85482274,204.5060928,0,1052.426252,10.93579943
90443,Orange,Yellow,Orange,303.0397805,675.9926856,109.6669815,82.42641328,242.0014622,0,1221.033928,8.927322086
90444,Orange,Orange,Orange,138.0020329,527.9363377,31.22910253,0,171.9364562,0,837.8748268,21.32428782
90447,Orange,Orange,Orange,264.6480418,825.5132649,41.55911404,13.96580325,109.8743424,0,1200.035649,26.23158197
90457,Orange,Yellow,Orange,313.485593,952.8914506,189.1797378,NA,93.21081832,0,1359.587862,6.694041647
90462,Orange,Orange,Orange,177.9893493,648.0195898,114.2597478,NA,127.6065183,0,953.6154573,7.229220747
90463,Orange,Orange,Orange,242.2886894,778.551573,42.7398254,NA,134.4327973,0,1155.27306,23.88498907
90465,Orange,Orange,Orange,404.6211257,1152.914358,73.6746992,NA,261.674481,0,1819.209964,21.14071045
90469,Orange,Orange,Orange,150.9177945,522.6439096,28.05907868,17.52855988,52.22314376,0,725.7848478,24.00512547
90471,Orange,Orange,Orange,154.8405047,413.9958571,34.77005201,30.47904006,35.13881818,0,603.97518,16.35995142
90473,Orange,Orange,Orange,205.6627156,638.3393729,61.52747649,NA,102.8733005,0,946.8753889,13.7174826
90474,Orange,Yellow,Orange,137.3427209,490.6274943,71.56123318,NA,NA,0,NA,8.775284986
90480,Orange,Orange,Orange,307.9889573,964.1540792,37.25732417,67.92406748,NA,0,NA,34.1447773
90483,Orange,Yellow,Orange,157.5687838,638.6810119,33.81466579,NA,63.73027721,0,859.9800729,23.54746904
90484,Orange,Orange,Orange,226.5314747,1074.640788,71.70071645,67.16547331,163.8251043,0,1464.997367,18.14727003
90485,Orange,Yellow,Orange,255.8964775,875.9650003,156.2429958,54.7361965,250.3170396,76.07520439,1458.253722,7.244238194
90486,Orange,Orange,Orange,349.6722112,782.9436634,62.44772689,57.90981555,105.6180955,0,1238.23397,18.13702325
90487,Orange,Yellow,Orange,424.4759253,1078.40649,109.1245314,66.81345684,147.2166237,0,1650.099039,13.77217749
90488,Orange,Orange,Orange,385.4523592,829.969094,98.27381509,56.7267999,109.6799683,0,1325.101421,12.36770397
90489,Orange,Yellow,Orange,457.8349826,1127.481573,142.9744315,63.24450328,238.2102687,43.89850551,1867.425329,11.08811232
90490,Orange,Orange,Orange,306.9105961,930.6107428,83.88419022,24.19128414,171.3791996,0,1408.900538,14.75273631
90491,Orange,Orange,Orange,473.6258452,1446.39451,112.5950901,88.8730893,148.2606774,0,2068.281032,17.05243411
90492,Orange,Orange,Orange,212.84445,680.6503464,71.04453826,36.40525441,68.42435137,0,961.9191477,12.57654449
90493,Orange,Orange,Orange,408.0205032,995.5955736,86.08493639,52.21189996,184.212862,0,1587.828939,16.30501381
90494,Orange,Orange,Orange,209.9628013,739.099603,43.25094863,NA,232.5207327,0,1181.583137,21.94315811
90495,Orange,Orange,Orange,346.3322739,1112.055366,97.2610143,NA,140.1601464,47.75896045,1646.306747,14.99457568
90496,Orange,Orange,Orange,274.6461847,529.620517,43.37739186,NA,64.80444735,0,869.071149,18.54114937
90497,Orange,Orange,Orange,267.2420001,606.2624436,54.09010129,NA,42.00784715,0,915.5122908,16.14906282
90498,Orange,Orange,Orange,214.6474363,430.124087,44.54087708,NA,88.65960861,0,733.4311318,14.47595031
90500,Orange,Yellow,Orange,261.5314185,480.4125471,107.3669491,NA,117.5193636,0,859.4633292,6.910357164
90502,Orange,Orange,Orange,338.3451004,941.4725933,122.1652249,52.55461577,207.855576,29.08197489,1516.755244,10.47612113
90503,Orange,Yellow,Orange,251.5012513,480.9040446,95.50095835,NA,150.7191135,0,883.1244093,7.669088441
90504,Orange,Orange,Orange,198.9140157,546.9394829,71.26849522,NA,173.821922,0,919.6754205,10.46540265
90509,Orange,Orange,Orange,41.90394605,535.3030419,116.7450535,NA,122.3242097,73.49630626,773.0275039,4.944166548
90510,Orange,Orange,Orange,984.0074241,2183.004517,301.2370665,111.7162547,380.256569,176.9617995,3724.230309,10.51335408
90511,Orange,Orange,Orange,245.4921115,779.4674594,70.5653197,49.13016114,49.55477544,0,1074.514346,14.52497594
90514,Orange,Orange,Orange,117.6361581,732.5839269,58.51382631,NA,122.2660277,0,972.4861127,14.53024249
90515,Orange,Orange,Orange,364.6181866,1166.160855,111.4931755,76.61076684,NA,0,NA,13.72980036
90516,Orange,Orange,Orange,152.2797006,399.5712327,44.5663663,NA,77.34510236,0,629.1960356,12.38267732
90517,Orange,Orange,Orange,248.4398614,430.1419342,63.90097951,NA,198.5394997,0,877.1212953,10.61927064
90518,Orange,Orange,Orange,263.5115778,1140.051688,64.22641437,57.29143835,253.1773327,0,1656.740598,21.85336484
90519,Orange,Orange,Orange,326.7425145,933.6391792,71.33650133,23.7739284,394.0644521,0,1654.446146,17.66811759
90520,Orange,Orange,Orange,310.5026788,1108.213955,121.2830596,81.4148739,176.3035581,0,1595.020192,11.69756633
90521,Orange,Orange,Orange,83.05543155,384.3462939,54.91919906,NA,112.6763571,0,580.0780825,8.510716351
90522,Orange,Orange,Orange,664.7175618,412.311188,48.24602449,37.7943999,186.1289559,0,1263.157706,22.32367871
90525,Orange,Orange,Orange,228.6652733,894.7329441,NA,NA,82.56322931,0,1205.961447,NA
90526,Orange,Orange,Orange,224.8759644,437.6221414,51.68980344,NA,66.88654967,0,729.3846554,12.81680451
90527,Orange,Orange,Orange,479.7882032,1325.152176,63.77970232,NA,146.2158888,0,1951.156267,28.29960494
90528,Orange,Orange,Orange,357.9573053,640.7535645,91.79769794,42.73902156,117.5153684,0,1116.226238,10.8794762
90529,Orange,Orange,Orange,177.4496342,626.3696761,68.20925343,NA,103.6973181,0,907.5166284,11.78460795
90530,Orange,Orange,Orange,256.8261137,668.1794595,62.36708493,37.47675302,113.7280406,0,1038.733614,14.83163073
90531,Orange,Orange,Orange,515.4875948,1049.527851,101.7188418,40.71278449,205.5629524,0,1770.578398,15.38569863
90535,Orange,Yellow,Orange,0,119.8851465,92.61203382,NA,69.84818334,0,189.7333298,1.294487785
90536,Orange,Orange,Orange,220.4598905,978.6414549,88.10294801,58.22282746,133.7963624,48.13672613,1381.034434,13.61022954
90537,Orange,Orange,Orange,564.1350605,1268.295535,136.7902161,NA,270.5258349,128.3651761,2231.321606,13.39591856
90538,Orange,Orange,Orange,119.7109294,542.6707823,64.25666716,NA,43.71500645,0,706.0967181,10.30837329
90539,Orange,Orange,Orange,625.8661521,1991.778817,131.4111995,82.07084977,235.4208027,143.4757233,2996.541495,19.91949682
90540,Orange,Yellow,Orange,283.4148909,462.7854174,55.17455457,NA,79.30547428,63.47038425,888.9761667,13.52435582
90541,Orange,Orange,Orange,305.2081367,1188.339945,92.95864884,83.16849445,76.35628903,68.4244101,1638.328781,16.06680067
90542,Orange,Orange,Orange,194.808618,549.1682462,51.91326961,30.69375608,32.7795279,42.33295856,819.0893506,14.3311502
90543,Orange,Yellow,Orange,80.02973078,260.4141918,28.45558092,NA,47.04714215,17.54233667,405.0334014,11.96404753
90546,Orange,Orange,Orange,512.2791411,1288.950332,161.9589388,71.5062962,134.8400436,114.7403133,2050.80983,11.12151936
90547,Orange,Orange,Orange,183.4733037,683.1529191,63.49629365,NA,59.91536452,38.03010276,964.57169,13.64845368
90548,Orange,Yellow,Orange,205.3459944,555.2811572,82.40031164,NA,137.5093805,42.64404986,940.7805819,9.230877122
90549,Orange,Orange,Orange,245.9872775,581.6606171,53.44530695,NA,160.0510304,87.28537506,1074.9843,15.48588532
