"","Sample Name","Outer Color","Inner Color","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio","PI"
"104",90447,"Orange","Orange","Orange",264.6480418,825.5132649,41.55911404,13.96580325,109.8743424,0,1200.035649,26.23158197,"PI 432904"
"105",90463,"Orange","Orange","Orange",242.2886894,778.551573,42.7398254,NA,134.4327973,0,1155.27306,23.88498907,"PI 458858"
"106",90465,"Orange","Orange","Orange",404.6211257,1152.914358,73.6746992,NA,261.674481,0,1819.209964,21.14071045,"PI 458860"
"107",90473,"Orange","Orange","Orange",205.6627156,638.3393729,61.52747649,NA,102.8733005,0,946.8753889,13.7174826,"PI 502239"
"108",90480,"Orange","Orange","Orange",307.9889573,964.1540792,37.25732417,67.92406748,NA,0,NA,34.1447773,"PI 502914"
"109",90483,"Orange","Yellow","Orange",157.5687838,638.6810119,33.81466579,NA,63.73027721,0,859.9800729,23.54746904,"PI 502916"
"110",90484,"Orange","Orange","Orange",226.5314747,1074.640788,71.70071645,67.16547331,163.8251043,0,1464.997367,18.14727003,"PI 502917"
"111",90485,"Orange","Yellow","Orange",255.8964775,875.9650003,156.2429958,54.7361965,250.3170396,76.07520439,1458.253722,7.244238194,"PI 502918"
"112",90486,"Orange","Orange","Orange",349.6722112,782.9436634,62.44772689,57.90981555,105.6180955,0,1238.23397,18.13702325,"PI 502919"
"113",90487,"Orange","Yellow","Orange",424.4759253,1078.40649,109.1245314,66.81345684,147.2166237,0,1650.099039,13.77217749,"PI 502920"
"114",90490,"Orange","Orange","Orange",306.9105961,930.6107428,83.88419022,24.19128414,171.3791996,0,1408.900538,14.75273631,"PI 503344"
"115",90491,"Orange","Orange","Orange",473.6258452,1446.39451,112.5950901,88.8730893,148.2606774,0,2068.281032,17.05243411,"PI 503345"
"116",90492,"Orange","Orange","Orange",212.84445,680.6503464,71.04453826,36.40525441,68.42435137,0,961.9191477,12.57654449,"PI 506444"
"117",90493,"Orange","Orange","Orange",408.0205032,995.5955736,86.08493639,52.21189996,184.212862,0,1587.828939,16.30501381,"PI 506445"
"118",90494,"Orange","Orange","Orange",209.9628013,739.099603,43.25094863,NA,232.5207327,0,1181.583137,21.94315811,"PI 508470"
"119",90547,"Orange","Orange","Orange",183.4733037,683.1529191,63.49629365,NA,59.91536452,38.03010276,964.57169,13.64845368,"PI 632392"
"120",90549,"Orange","Orange","Orange",245.9872775,581.6606171,53.44530695,NA,160.0510304,87.28537506,1074.9843,15.48588532,"PI 632394"
"121",90551,"Orange","Orange","Orange",204.8806149,622.4974235,43.29684184,NA,58.97531337,0,886.3533518,19.10943162,"PI 634649"
"122",90555,"Orange","Orange","Orange",323.4038153,1205.47912,134.8070987,64.49367376,166.9257823,94.69657467,1790.505292,11.3412643,"PI 634653"
"123",90556,"Orange","Yellow","Orange",67.06793961,221.6259205,26.27014352,NA,65.3820503,0,354.0759104,10.98942836,"PI 634654"
"124",90559,"Orange","Yellow","Orange",118.2622443,449.8147517,35.71825486,NA,77.54346258,0,645.6204585,15.90438834,"PI 634657"
"125",90560,"Orange","Orange","Orange",374.4258226,1245.614122,77.44388764,45.83272517,112.9250553,21.4305066,1754.395506,20.91888713,"PI 634658"
"126",90561,"Orange","Yellow","Orange",141.6632303,227.2600342,49.15660181,NA,52.89216519,0,421.8154296,7.505060375,"PI 642755"
"127",90562,"Orange","Orange","Orange",658.34715,1646.977454,74.89191024,62.20651436,145.6645723,0,2450.989176,30.78202434,"PI 642756"
"128",90563,"Orange","Orange","Orange",393.0119925,632.8805346,69.73754771,NA,81.03150981,0,1106.924037,14.71076286,"PI 642757"
"129",90564,"Orange","Orange","Orange",262.0289281,1146.518912,49.82443253,30.10163617,69.27130882,0,1477.819148,28.27022342,"PI 642758"
"130",90565,"Orange","Orange","Orange",316.3812645,665.1704728,56.27288399,NA,40.40752048,0,1021.959258,17.44271251,"PI 642759"
"131",90569,"Orange","Orange","Orange",302.3207546,1614.581013,67.12199892,60.04220276,235.2091085,0,2152.110876,28.5584726,"PI 643115"
"132",90570,"Orange","Orange","Orange",651.6889509,1628.592783,164.0342775,101.4628261,187.2882798,43.62138684,2511.191401,13.90125143,"PI 643116"
"133",90571,"Orange","Orange","Orange",186.6208919,528.8389469,60.73870068,28.94285055,26.32458188,0,741.7844206,11.7793076,"PI 643117"
"134",90572,"Orange","Orange","Orange",137.2683528,547.8968145,59.49486428,NA,112.462777,39.82222884,837.450173,11.51637499,"PI 643118"
"135",90574,"Orange","Orange","Orange",146.675977,554.1437739,43.75870085,NA,45.54394584,0,746.3636967,16.01555205,"PI 643120"
"136",90581,"Orange","Orange","Orange",143.7982797,567.1139693,32.11885291,NA,74.06972617,0,784.9819751,22.13379946,"PI 652124"
"137",90582,"Orange","Orange","Orange",172.2037154,458.9255655,30.90170724,NA,48.39828656,0,679.5275675,20.4237674,"PI 652125"
"138",90587,"Orange","Yellow","Orange",133.2398126,340.9819731,52.97948103,NA,61.72618595,0,535.9479716,8.951046263,"PI 652130"
"139",90588,"Orange","Orange","Orange",380.2379938,1095.244522,101.21919,NA,250.5956219,0,1726.078137,14.57710258,"PI 652131"
"140",90590,"Orange","Orange","Orange",267.1512,309.8832733,51.56085011,NA,151.8780076,0,728.9124809,11.1913297,"PI 652133"
"141",90591,"Orange","Orange","Orange",561.8545523,994.2424788,138.2775733,52.71105596,153.9486457,83.06752948,1793.113206,11.25343028,"PI 652134"
"142",90592,"Orange","Orange","Orange",748.1375161,1764.024149,166.107115,61.41386,453.4657565,51.97392966,3017.601351,15.12374509,"PI 652135"
"143",90593,"Orange","Yellow","Orange",146.427616,432.5466181,39.13308322,NA,91.79145646,0,670.7656905,14.79500685,"PI 652136"
"144",90594,"Orange","Orange","Orange",189.9334866,711.0228294,46.57284275,NA,109.4946536,0,1010.45097,19.34510034,"PI 652137"
"145",90603,"Orange","Orange","Orange",445.1728993,1414.880583,60.55900336,57.2376645,58.10727054,0,1918.160753,30.71473074,"PI 652148"
"146",90604,"Orange","Yellow","Orange",182.9683574,640.0082295,53.25676161,17.382756,106.5774605,0,929.5540473,15.45299718,"PI 652149"
"147",90606,"Orange","Orange","Orange",582.4157128,1618.637238,146.278874,84.67144244,215.9901829,52.06724242,2469.110376,15.046964,"PI 652152"
"148",90607,"Orange","Orange","Orange",245.0064941,546.0325805,41.99733811,NA,69.76041606,0,860.7994906,18.83545744,"PI 652153"
"149",90608,"Orange","Orange","Orange",325.1341221,1118.017313,91.90543712,29.53528364,90.73711579,23.09785568,1556.986406,15.70256864,"PI 652154"
"150",90611,"Orange","Orange","Orange",170.5815299,405.1529181,43.33312585,NA,47.3162553,0,623.0507033,13.28624319,"PI 652156"
"151",90613,"Orange","Orange","Orange",317.2208468,1080.719047,90.43991357,59.9277361,211.1144994,0,1609.054393,15.45711222,"PI 652158"
"152",90614,"Orange","Orange","Orange",281.3071532,911.2772677,75.83479808,NA,95.91062999,0,1288.495051,15.72608421,"PI 652159"
"153",90616,"Orange","Orange","Orange",611.4547504,1056.495228,64.28351347,NA,104.0316927,0,1771.981671,25.94677683,"PI 652161"
"154",90618,"Orange","Orange","Orange",104.9643046,257.201956,27.7166498,NA,19.31687811,0,381.4831387,13.06674015,"PI 652163"
"155",90620,"Orange","Orange","Orange",418.324866,1469.71402,114.8180816,81.54657669,229.5610757,73.85436515,2191.454326,16.44374178,"PI 652165"
"156",90622,"Orange","Orange","Orange",85.13934358,236.9286258,16.27157978,NA,34.18958989,0,356.2575592,19.79328213,"PI 652167"
"157",90623,"Orange","Orange","Orange",126.3820551,330.0344344,28.79519765,NA,52.03322127,0,508.4497108,15.85043781,"PI 652168"
"158",90625,"Orange","Orange","Orange",60.03146309,173.9382362,18.53448458,NA,43.19569783,0,277.1653971,12.62348021,"PI 652170"
"159",90626,"Orange","Orange","Orange",478.4813109,1171.762324,45.99312429,NA,38.28946054,0,1688.533095,35.88022472,"PI 652171"
"160",90627,"Orange","Orange","Orange",379.1615658,1450.76019,91.07907437,26.50563142,91.46047753,0,1921.382233,20.09157172,"PI 652172"
"161",90629,"Orange","Orange","Orange",88.31654246,320.5309882,25.86253373,NA,36.13515471,0,444.9826853,15.80848709,"PI 652174"
"162",90630,"Orange","Orange","Orange",94.19912825,391.9769971,27.08617529,NA,30.76849789,0,516.9446232,17.94923499,"PI 652175"
"163",90631,"Orange","Orange","Orange",59.18697299,177.4551835,18.56640368,NA,19.77178871,0,256.4139452,12.74571859,"PI 652176"
"164",90632,"Orange","Orange","Orange",26.65515346,125.2780269,9.306312258,NA,0,0,151.9331803,16.32582016,"PI 652177"
"165",90633,"Orange","Orange","Orange",56.52764874,303.1668234,18.54221664,NA,0,0,359.6944721,19.39867704,"PI 652178"
"166",90634,"Orange","Orange","Orange",165.4714051,518.2416355,32.23286939,NA,72.03219225,0,755.7452328,21.21167161,"PI 652179"
"167",90635,"Orange","Orange","Orange",172.8559074,577.1020271,42.09668721,NA,37.08159103,0,787.0395255,17.81512951,"PI 652180"
"168",90636,"Orange","Yellow","Orange",54.97508474,259.260849,16.48196905,NA,37.1111904,0,351.3471241,19.06543647,"PI 652181"
"169",90637,"Orange","Yellow","Orange",34.32147249,164.0298945,16.63293368,NA,0,0,198.351367,11.92521841,"PI 652182"
"170",90639,"Orange","Yellow","Orange",149.7075968,564.5760466,31.0808218,NA,130.8892145,0,845.1728579,22.98149155,"PI 652188"
"171",90642,"Orange","Orange","Orange",628.9877737,1948.88982,261.919884,94.55391866,183.6962091,92.50600535,2854.079808,9.842237079,"PI 652200"
"172",90646,"Orange","Orange","Orange",336.4230765,1041.862272,95.74608761,60.04766216,283.1242288,0,1661.409577,14.39521324,"PI 652204"
"173",90649,"Orange","Yellow","Orange",315.39698,1483.649212,88.39905469,60.2674142,404.4048935,24.728977,2228.180063,20.3514189,"PI 652207"
"174",90656,"Orange","Orange","Orange",393.6099448,995.9647512,NA,NA,171.3641875,0,1560.938883,NA,"PI 652216"
"175",90658,"Orange","Orange","Orange",278.9954874,845.8661187,66.49164682,61.87146949,88.00303037,0,1212.864636,16.91733714,"PI 652231"
"176",90666,"Orange","Yellow","Orange",110.916726,1102.5302,70.56492437,121.8670588,428.4600518,0,1641.906977,17.19617694,"PI 652248"
"177",90670,"Orange","Orange","Orange",200.0707089,841.6091795,59.20180698,NA,112.1371123,0,1153.817001,17.59540699,"PI 652254"
