Taxa,Q1,Q2
142506,0.9866905,0.0133095
142508,0.9945285,0.0054715
142510,0.9999735,0.0000265
142512,0.9999835,0.0000165
142514,0.9930535,0.0069465
142516,0.962787,0.037213
142518,0.9884635,0.0115365
142520,0.9999915,0.0000085
142522,0.999992,0.000008
142524,0.9771065,0.0228935
142526,0.9814655,0.0185345
142528,0.9999915,0.0000085
142532,0.85447,0.14553
142534,0.7421785,0.2578215
142536,0.9926905,0.0073095
142538,0.9350655,0.0649345
142540,0.9986455,0.0013545
142542,0.91155,0.08845
142544,0.9085865,0.0914135
142546,0.9967365,0.0032635
142548,0.999991,0.000009
142550,0.999991,0.000009
142552,0.982037,0.017963
142554,0.989931,0.010069
142556,0.400953,0.599047
142562,0.05546,0.94454
142564,0.556084,0.443916
142566,0.163057,0.836943
142568,0.002534,0.997466
142570,0.7335395,0.2664605
142572,0.044571,0.955429
142574,0.6084005,0.3915995
142578,0.0000245,0.9999755
142580,0.238202,0.761798
142582,0.801738,0.198262
142586,0.7987405,0.2012595
142588,0.837393,0.162607
142590,0.000009,0.999991
142592,0.1494835,0.8505165
142594,0.614653,0.385347
142596,0.0413875,0.9586125
142600,0.5302225,0.4697775
142604,0.3359125,0.6640875
142606,0.000009,0.999991
142608,0.6037225,0.3962775
142610,0.496768,0.503232
142616,0.203247,0.796753
142618,0.0000095,0.9999905
142620,0.0000115,0.9999885
142622,0.0000115,0.9999885
142624,0.000012,0.999988
142626,0.000025,0.999975
142632,0.000009,0.999991
142634,0.0000085,0.9999915
142638,0.0000085,0.9999915
142640,0.0000095,0.9999905
142642,0.1775925,0.8224075
142644,0.00001,0.99999
142646,0.0000085,0.9999915
142648,0.7536965,0.2463035
142650,0.00001,0.99999
142652,0.0000085,0.9999915
142654,0.000011,0.999989
142656,0.58006,0.41994
142658,0.000009,0.999991
142660,0.000011,0.999989
142662,0.0000105,0.9999895
142664,0.1277565,0.8722435
142666,0.999991,0.000009
142668,0.999991,0.000009
142670,0.0000115,0.9999885
142672,0.00001,0.99999
142674,0.00001,0.99999
142676,0.0000095,0.9999905
142678,0.000009,0.999991
142682,0.0000105,0.9999895
142684,0.05958,0.94042
142686,0.0200555,0.9799445
142688,0.0000095,0.9999905
142690,0.0000085,0.9999915
142692,0.0535125,0.9464875
142696,0.032405,0.967595
142698,0.00001,0.99999
142700,0.1448895,0.8551105
142702,0.0179385,0.9820615
142704,0.0000085,0.9999915
142706,0.009758,0.990242
142712,0.01823,0.98177
142714,0.000014,0.999986
142716,0.0618495,0.9381505
142720,0.744174,0.255826
142722,0.9584505,0.0415495
142724,0.9999915,0.0000085
142726,0.689479,0.310521
142728,0.9995275,0.0004725
142730,0.0000105,0.9999895
142732,0.000009,0.999991
142734,0.000009,0.999991
142738,0.00001,0.99999
142740,0.973518,0.026482
142742,0.999992,0.000008
142744,0.999992,0.000008
142746,0.9999915,0.0000085
142748,0.9999895,0.0000105
142750,0.9999915,0.0000085
142752,0.00001,0.99999
142754,0.0000095,0.9999905
142756,0.0606235,0.9393765
142758,0.0000135,0.9999865
142760,0.062898,0.937102
142762,0.994839,0.005161
142764,0.99999,0.00001
142766,0.9430025,0.0569975
142768,0.051844,0.948156
142770,0.000011,0.999989
142772,0.9399715,0.0600285
142774,0.0000215,0.9999785
142776,0.0000095,0.9999905
142778,0.000009,0.999991
142780,0.000009,0.999991
142784,0.0717275,0.9282725
142786,0.00001,0.99999
142788,0.0003125,0.9996875
142790,0.0000105,0.9999895
142792,0.000009,0.999991
142794,0.0000095,0.9999905
142796,0.0000095,0.9999905
142798,0.0000105,0.9999895
142800,0.0000575,0.9999425
142802,0.000018,0.999982
142804,0.8811055,0.1188945
142806,0.071955,0.928045
142808,0.006312,0.993688
142810,0.0058945,0.9941055
142812,0.008034,0.991966
142816,0.000009,0.999991
142818,0.000023,0.999977
142820,0.999991,0.000009
142822,0.99999,0.00001
142824,0.9977235,0.0022765
142826,0.99994,0.00006
142828,0.997159,0.002841
142830,0.9999915,0.0000085
142832,0.999992,0.000008
142834,0.9999915,0.0000085
142836,0.9756905,0.0243095
142838,0.7219975,0.2780025
142840,0.5335785,0.4664215
142842,0.6072695,0.3927305
142844,0.948903,0.051097
142846,0.0001185,0.9998815
142848,0.8893705,0.1106295
142852,0.0330845,0.9669155
142854,0.980707,0.019293
142856,0.943095,0.056905
142858,0.9626805,0.0373195
142860,0.9999905,0.0000095
142862,0.9707205,0.0292795
142864,0.8522485,0.1477515
142870,0.999992,0.000008
142874,0.0054715,0.9945285
142876,0.00001,0.99999
142878,0.874683,0.125317
142882,0.9999915,0.0000085
142884,0.9723515,0.0276485
142886,0.988077,0.011923
142888,0.999987,0.000013
142890,0.9842265,0.0157735
142892,0.812367,0.187633
142894,0.943404,0.056596
142896,0.9040525,0.0959475
142898,0.976929,0.023071
142900,0.9993665,0.0006335
142902,0.520788,0.479212
142904,0.9566655,0.0433345
142906,0.863305,0.136695
142908,0.9675305,0.0324695
142912,0.999923,0.000077
142914,0.568486,0.431514
142916,0.999991,0.000009
142918,0.9999915,0.0000085
142920,0.9827885,0.0172115
142922,0.996835,0.003165
142924,0.999992,0.000008
142926,0.999992,0.000008
142928,0.9951855,0.0048145
142930,0.010781,0.989219
142932,0.8064805,0.1935195
142934,0.1644835,0.8355165
142936,0.0877525,0.9122475
142938,0.0000085,0.9999915
142940,0.003434,0.996566
142942,0.9999915,0.0000085
142944,0.999954,0.000046
142946,0.9999895,0.0000105
